nr	colony	treatment	nr_measurement	date	weekday	day_since_start	week	video_order	recording_position	workers	w_yellow	w_blue	w_white	w_unmarked	pupae	incidents	death	death_external_factor	death_colorNA	death_yellow	death_blue	death_white	death_black	death_locationNA	death_nest	death_arena	sum_symptoms	clinic_colorNA	clinic_yellow	clinic_blue	clinic_white	clinic_black	slow	unresposive	posture_abnormal	moving_zigzag_limping	trembly_hinking	troubles	impaired_locomotion_pronounced	partial_paralysis	paralysis	newly_emerged_struggling	else	ants_sampled				
27	3	control	7	2021-03-01	Monday	17	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
28	4	virus 	7	2021-03-01	Monday	17	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
29	1	virus 	8	2021-03-03	Wednesday	19	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
30	2	virus 	8	2021-03-03	Wednesday	19	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
31	3	control	8	2021-03-03	Wednesday	19	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
32	4	virus 	8	2021-03-03	Wednesday	19	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
33	1	virus 	9	2021-03-05	Friday	21	4	4213	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
34	2	virus 	9	2021-03-05	Friday	21	4	4213	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
35	3	control	9	2021-03-05	Friday	21	4	4213	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
36	4	virus 	9	2021-03-05	Friday	21	4	4213	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
37	1	virus 	10	2021-03-08	Monday	24	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
38	2	virus 	10	2021-03-08	Monday	24	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
39	3	control	10	2021-03-08	Monday	24	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
40	4	virus 	10	2021-03-08	Monday	24	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
41	1	virus 	11	2021-03-10	Wednesday	26	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
42	2	virus 	11	2021-03-10	Wednesday	26	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
43	3	control	11	2021-03-10	Wednesday	26	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
44	4	virus 	11	2021-03-10	Wednesday	26	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
45	1	virus 	12	2021-03-12	Friday	28	5	4132	2	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	NA	NA	0	0	0	0	1	0	1	NA	NA	0	0	0	0	0	0	0	0	1	0	0	0	0				
46	2	virus 	12	2021-03-12	Friday	28	5	4231	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
47	3	control	12	2021-03-12	Friday	28	5	4132	3	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
48	4	virus 	12	2021-03-12	Friday	28	5	4132	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
