colony,focal_AntID,tagID,position,time_start,time_stop,exclude
c26,016,3b6,p2,2022-04-21T10:16:50.850590628Z,2022-04-21T10:17:37.184040699Z,0
c26,016,3b6,p2,2022-04-21T10:17:44.850837656Z,2022-04-21T10:17:53.350831133Z,0
c26,016,3b6,p2,2022-04-21T10:18:42.184406028Z,2022-04-21T10:19:24.184621475Z,0
c26,016,3b6,p2,2022-04-21T10:31:26.521185446Z,2022-04-21T10:33:28.688337070Z,0
c26,017,82e,p1,2022-04-21T10:26:41.686610372Z,2022-04-21T10:29:17.687358949Z,0
c26,017,82e,p1,2022-04-21T10:32:28.354767829Z,2022-04-21T10:33:04.854906796Z,0
c26,017,82e,p1,2022-04-21T10:35:15.355416924Z,2022-04-21T10:36:03.022275644Z,0
c26,017,82e,p1,2022-04-21T10:52:49.359437548Z,2022-04-21T10:54:21.859776056Z,0
c26,017,82e,p1,2022-04-21T10:58:45.360691735Z,2022-04-21T11:04:06.528499905Z,0
c27,001,008,p2,2022-04-23T10:16:26.631489141Z,2022-04-23T10:17:01.464986497Z,0
c27,001,008,p2,2022-04-23T10:17:53.798480607Z,2022-04-23T10:18:12.465253206Z,0
c27,001,008,p2,2022-04-23T10:18:33.632059877Z,2022-04-23T10:19:09.965515819Z,0
c27,001,008,p2,2022-04-23T10:20:07.132430916Z,2022-04-23T10:20:26.465871290Z,0
c27,002,0ec,p1,2022-04-23T10:19:31.798935621Z,2022-04-23T10:21:28.466148682Z,0
c27,003,12e,p1,2022-04-23T10:20:47.465936856Z,2022-04-23T10:22:47.299846405Z,0
c27,004,14f,p2,2022-04-23T10:23:20.633291979Z,2022-04-23T10:25:02.133822935Z,0
c27,005,15f,p2,NA,NA,0
c27,006,194,p2,2022-04-23T10:20:18.465814496Z,2022-04-23T10:20:35.132520976Z,0
c27,006,194,p2,2022-04-23T10:20:50.299270824Z,2022-04-23T10:21:04.466031208Z,0
c27,006,194,p2,2022-04-23T10:25:13.633875476Z,2022-04-23T10:27:32.801269361Z,0
c27,006,194,p2,2022-04-23T10:43:18.472353397Z,2022-04-23T10:45:02.639509131Z,0
c27,006,194,p2,2022-04-23T10:53:42.143150221Z,2022-04-23T10:54:23.976813302Z,0
c27,007,1bf,p2,2022-04-23T10:20:10.632445222Z,2022-04-23T10:20:57.299335836Z,0
c27,007,1bf,p2,2022-04-23T10:31:41.302438850Z,2022-04-23T10:34:41.636518082Z,0
c27,007,1bf,p2,2022-04-23T10:36:07.803668262Z,2022-04-23T10:38:18.304285153Z,0
c27,008,1fe,p1,NA,NA,0
c27,009,21f,p2,2022-04-23T10:24:04.966966650Z,2022-04-23T10:24:57.300475711Z,0
c27,009,21f,p2,2022-04-23T10:47:48.474077956Z,2022-04-23T10:51:28.142197154Z,0
c27,009,21f,p2,2022-04-23T10:57:29.144695953Z,2022-04-23T10:59:14.145339326Z,0
c27,010,258,p2,2022-04-23T10:17:07.631907410Z,2022-04-23T10:19:30.965554101Z,0
c27,011,296,p2,2022-04-23T10:19:22.798821913Z,2022-04-23T10:20:04.632415669Z,0
c27,012,2a3,p1,2022-04-23T10:15:52.131337101Z,2022-04-23T10:16:07.798076977Z,0
c27,013,33f,p1,2022-04-23T10:57:41.811429622Z,2022-04-23T10:58:13.312044468Z,0
c27,014,355,p1,NA,NA,0
c27,015,38c,p1,2022-04-23T10:18:39.132013864Z,2022-04-23T10:19:56.465708001Z,0
c27,015,38c,p1,2022-04-23T10:22:25.133109952Z,2022-04-23T10:23:11.466632927Z,0
c27,015,38c,p1,2022-04-23T10:26:36.634361412Z,2022-04-23T10:29:27.301820436Z,0
c27,015,38c,p1,2022-04-23T10:35:23.136792341Z,2022-04-23T10:50:19.474989265Z,0
c27,016,3a9,p1,NA,NA,0
c28,001,02e,p1,2022-04-23T10:58:24.641690765Z,2022-04-23T11:00:29.142230326Z,0
c28,001,02e,p1,2022-04-23T11:06:59.143957681Z,2022-04-23T11:07:43.477477333Z,0
c28,002,062,p1,2022-04-23T10:35:38.968311523Z,2022-04-23T10:38:50.802392262Z,0
c28,003,072,p2,NA,NA,0
c28,004,0a1,p2,2022-04-23T10:22:07.631800531Z,2022-04-23T10:22:42.965235865Z,0
c28,004,0a1,p2,2022-04-23T10:23:37.798828456Z,2022-04-23T10:24:26.799004756Z,0
c28,004,0a1,p2,2022-04-23T10:26:36.132887073Z,2022-04-23T10:27:17.799686341Z,0
c28,005,12b,p1,2022-04-23T10:19:13.797823649Z,2022-04-23T10:19:43.631242872Z,0
c28,005,12b,p1,2022-04-23T10:19:53.131297082Z,2022-04-23T10:20:16.464639765Z,0
c28,005,12b,p1,2022-04-23T10:21:59.798443042Z,2022-04-23T10:23:15.965403425Z,0
c28,005,12b,p1,2022-04-23T10:41:29.636663925Z,2022-04-23T10:46:58.805120410Z,0
c28,006,199,p1,2022-04-23T10:18:53.631065141Z,2022-04-23T10:20:31.798120923Z,0
c28,006,199,p1,2022-04-23T10:24:05.298905545Z,2022-04-23T10:24:05.965612314Z,0
c28,006,199,p1,2022-04-23T10:24:04.965576381Z,2022-04-23T10:28:26.799932214Z,0
c28,006,199,p1,2022-04-23T11:00:52.309002905Z,2022-04-23T11:01:59.975976220Z,0
c28,007,19e,p1,2022-04-23T10:30:29.800395210Z,2022-04-23T10:30:50.800520878Z,0
c28,007,19e,p1,2022-04-23T10:38:35.135667106Z,2022-04-23T10:39:14.969242794Z,0
c28,007,19e,p1,2022-04-23T10:59:12.141780721Z,2022-04-23T11:00:15.475510189Z,0
c28,007,19e,p1,2022-04-23T11:07:11.310676012Z,2022-04-23T11:10:15.144820728Z,0
c28,008,1b3,p2,NA,NA,0
c28,009,267,p2,2022-04-23T10:24:03.965577765Z,2022-04-23T10:25:08.299113980Z,0
c28,009,267,p2,2022-04-23T10:29:35.800265181Z,2022-04-23T10:30:50.300462223Z,0
c28,010,26c,p1,2022-04-23T10:21:39.798363199Z,2022-04-23T10:22:12.131805223Z,0
c28,010,26c,p1,2022-04-23T10:22:54.631975608Z,2022-04-23T10:23:56.965525459Z,0
c28,010,26c,p1,2022-04-23T10:27:06.299631882Z,2022-04-23T10:28:39.633291248Z,0
c28,011,27f,p2,NA,NA,0
c28,012,286,p2,2022-04-23T10:19:51.964604544Z,2022-04-23T10:20:23.631399163Z,0
c28,013,330,p1,NA,NA,0
c28,014,352,p2,2022-04-23T10:21:35.964967756Z,2022-04-23T10:22:09.965145172Z,0
c28,015,36c,p1,2022-04-23T10:23:02.632008414Z,2022-04-23T10:24:18.798939087Z,0
c28,015,36c,p1,2022-04-23T10:24:24.632320547Z,2022-04-23T10:28:15.133261826Z,0
c28,016,3cc,p2,2022-04-23T10:24:54.299096706Z,2022-04-23T10:25:22.965811118Z,0
c28,016,3cc,p2,2022-04-23T10:26:00.466091217Z,2022-04-23T10:26:57.466733944Z,0
c28,016,3cc,p2,2022-04-23T10:51:51.806476775Z,2022-04-23T10:54:39.307315091Z,0
c05,001,024,p2,01:21:54.833,01:22:17.167,0
c05,001,024,p2,01:23:35.000,01:25:02.667,0
c05,002,1ce,p1,00:55:41.500,00:56:32.500,0
c05,003,285,p2,01:36:21.333,01:37:13.500,0
c05,003,285,p2,01:38:44.833,01:38:54.333,0
c05,004,2db,p2,00:51:51.333,00:52:16.500,0
c05,004,2db,p2,00:52:28.666,00:52:38.333,0
c05,004,2db,p2,00:53:41.333,00:56:23.833,0
c05,005,2f6,p2,01:19:39.833,01:20:10.667,0
c05,005,2f6,p2,01:21:11.667,01:21:40.833,0
c05,006,30a,p1,00:55:34.500,00:57:06.166,0
c05,007,32d,p1,00:56:25.833,00:57:29.000,0
c05,008,447,p1,NA,NA,0
c05,009,4fb,p2,00:53:06.666,00:55:38.833,0
c05,010,500,p2,00:59:56.833,01:01:33.666,0
c05,010,500,p2,01:02:21.500,01:03:52.666,0
c05,010,500,p2,01:20:02.167,01:20:51.333,0
c05,010,500,p2,01:25:36.000,01:26:25.167,0
c05,010,500,p2,01:34:02.333,01:37:04.667,0
c05,011,54f,p2,00:56:30.166,01:38:51.667,1
c05,012,670,p2,00:51:47.333,00:52:33.500,0
c05,012,670,p2,00:52:53.000,00:55:23.000,0
c05,012,670,p2,01:07:44.333,01:09:30.833,0
c05,013,734,p1,00:52:38.333,00:54:57.833,0
c05,013,734,p1,00:59:58.666,01:00:50.833,0
c05,014,754,p1,01:02:17.666,01:05:27.833,0
c05,014,754,p1,01:08:16.667,01:10:09.833,0
c05,015,7c7,p1,01:02:47.333,01:02:52.333,0
c05,016,840,p1,00:58:39.166,00:59:51.833,0
