run,nr,colony,petridish,treatment,sample_type,conc,fluorescence_week1,fluorescence_week2,well,row,column,plate
2,10,C56,2.1,control,ant,NA,9384.75,NA,B4,B,4,2.1
2,11,C56,2.1,control,ant,NA,26826,NA,C4,C,4,2.1
2,12,C56,2.1,control,ant,NA,20740.75,NA,D4,D,4,2.1
2,13,C56,2.1,control,ant,NA,19019.75,NA,E4,E,4,2.1
2,14,C56,2.1,control,ant,NA,15593.25,NA,F4,F,4,2.1
2,15,C56,2.1,control,ant,NA,739,NA,G4,G,4,2.1
2,16,C56,2.1,control,ant,NA,5596.25,NA,H4,H,4,2.1
2,17,C56,2.1,control,ant,NA,8588.75,NA,A5,A,5,2.1
2,18,C56,2.1,control,ant,NA,6150,NA,B5,B,5,2.1
2,19,C56,2.1,control,ant,NA,4118.75,NA,C5,C,5,2.1
2,1,C56,2.2,low,ant,NA,15272,NA,D5,D,5,2.1
2,2,C56,2.2,low,ant,NA,9769,NA,E5,E,5,2.1
2,3,C56,2.2,low,ant,NA,15257.5,NA,F5,F,5,2.1
2,4,C56,2.2,low,ant,NA,11389.75,NA,G5,G,5,2.1
2,5,C56,2.2,low,ant,NA,689.5,NA,H5,H,5,2.1
2,6,C56,2.2,low,ant,NA,2227,NA,A6,A,6,2.1
2,7,C56,2.2,low,ant,NA,9924.5,NA,B6,B,6,2.1
2,8,C56,2.2,low,ant,NA,1245,NA,C6,C,6,2.1
2,9,C56,2.2,low,ant,NA,10301.25,NA,D6,D,6,2.1
2,10,C56,2.2,low,ant,NA,13507,NA,E6,E,6,2.1
2,11,C56,2.2,low,ant,NA,17054.5,NA,F6,F,6,2.1
2,12,C56,2.2,low,ant,NA,15344.75,NA,G6,G,6,2.1
2,13,C56,2.2,low,ant,NA,10521.25,NA,H6,H,6,2.1
2,14,C56,2.2,low,ant,NA,1698.5,NA,A7,A,7,2.1
2,15,C56,2.2,low,ant,NA,9259.75,NA,B7,B,7,2.1
2,16,C56,2.2,low,ant,NA,701,NA,C7,C,7,2.1
2,17,C56,2.2,low,ant,NA,867,NA,D7,D,7,2.1
2,18,C56,2.2,low,ant,NA,10030.5,NA,E7,E,7,2.1
2,19,C56,2.2,low,ant,NA,13046.25,NA,F7,F,7,2.1
2,20,C56,2.2,low,ant,NA,10116,NA,G7,G,7,2.1
2,21,C56,2.2,low,ant,NA,4789.25,NA,H7,H,7,2.1
2,1,C56,2.3,mid,ant,NA,16978.5,NA,A8,A,8,2.1
2,2,C56,2.3,mid,ant,NA,5304.5,NA,B8,B,8,2.1
2,3,C56,2.3,mid,ant,NA,4217.75,NA,C8,C,8,2.1
2,4,C56,2.3,mid,ant,NA,12775.25,NA,D8,D,8,2.1
2,5,C56,2.3,mid,ant,NA,6839.25,NA,E8,E,8,2.1
2,6,C56,2.3,mid,ant,NA,4335.5,NA,F8,F,8,2.1
2,7,C56,2.3,mid,ant,NA,21676.5,NA,G8,G,8,2.1
2,8,C56,2.3,mid,ant,NA,2200.75,NA,H8,H,8,2.1
2,9,C56,2.3,mid,ant,NA,11927.75,NA,A9,A,9,2.1
2,10,C56,2.3,mid,ant,NA,4380.75,NA,B9,B,9,2.1
2,11,C56,2.3,mid,ant,NA,12699.75,NA,C9,C,9,2.1
2,12,C56,2.3,mid,ant,NA,11399.25,NA,D9,D,9,2.1
2,13,C56,2.3,mid,ant,NA,11980,NA,E9,E,9,2.1
2,14,C56,2.3,mid,ant,NA,8183.75,NA,F9,F,9,2.1
2,15,C56,2.3,mid,ant,NA,1698.5,NA,G9,G,9,2.1
2,16,C56,2.3,mid,ant,NA,16301.5,NA,H9,H,9,2.1
2,17,C56,2.3,mid,ant,NA,13010,NA,A10,A,10,2.1
2,18,C56,2.3,mid,ant,NA,2310.25,NA,B10,B,10,2.1
2,19,C56,2.3,mid,ant,NA,8783.75,NA,C10,C,10,2.1
2,20,C56,2.3,mid,ant,NA,520.5,NA,D10,D,10,2.1
2,21,C56,2.3,mid,ant,NA,7685.5,NA,E10,E,10,2.1
2,1,C56,2.4,mid,ant,NA,32543.25,NA,F10,F,10,2.1
2,2,C56,2.4,mid,ant,NA,16327.75,NA,G10,G,10,2.1
2,3,C56,2.4,mid,ant,NA,4811.5,NA,H10,H,10,2.1
2,4,C56,2.4,mid,ant,NA,37260,NA,A11,A,11,2.1
2,5,C56,2.4,mid,ant,NA,7511.75,NA,B11,B,11,2.1
2,6,C56,2.4,mid,ant,NA,21947.75,NA,C11,C,11,2.1
2,7,C56,2.4,mid,ant,NA,6334,NA,D11,D,11,2.1
2,8,C56,2.4,mid,ant,NA,8677.75,NA,E11,E,11,2.1
2,9,C56,2.4,mid,ant,NA,12272,NA,F11,F,11,2.1
2,10,C56,2.4,mid,ant,NA,19533,NA,G11,G,11,2.1
2,11,C56,2.4,mid,ant,NA,1735.25,NA,H11,H,11,2.1
2,12,C56,2.4,mid,ant,NA,19813.5,NA,A12,A,12,2.1
2,13,C56,2.4,mid,ant,NA,38302.25,NA,B12,B,12,2.1
2,14,C56,2.4,mid,ant,NA,30955.75,NA,C12,C,12,2.1
2,15,C56,2.4,mid,ant,NA,15998,NA,D12,D,12,2.1
2,16,C56,2.4,mid,ant,NA,5615.25,NA,E12,E,12,2.1
2,17,C56,2.4,mid,ant,NA,869.75,NA,F12,F,12,2.1
2,18,C56,2.4,mid,ant,NA,7017.5,NA,G12,G,12,2.1
2,19,C56,2.4,mid,ant,NA,12117.25,NA,H12,H,12,2.1
2,1,C56,2.5,high,ant,NA,23545.5,NA,A1,A,1,2.2
2,2,C56,2.5,high,ant,NA,3662.25,NA,B1,B,1,2.2
2,3,C56,2.5,high,ant,NA,1356.25,NA,C1,C,1,2.2
2,4,C56,2.5,high,ant,NA,10869.5,NA,D1,D,1,2.2
2,5,C56,2.5,high,ant,NA,8203.25,NA,E1,E,1,2.2
2,6,C56,2.5,high,ant,NA,1433.75,NA,F1,F,1,2.2
2,7,C56,2.5,high,ant,NA,12764.75,NA,G1,G,1,2.2
2,8,C56,2.5,high,ant,NA,7703.5,NA,H1,H,1,2.2
2,9,C56,2.5,high,ant,NA,2484.25,NA,A2,A,2,2.2
2,10,C56,2.5,high,ant,NA,3755.25,NA,B2,B,2,2.2
2,11,C56,2.5,high,ant,NA,3023.25,NA,C2,C,2,2.2
2,12,C56,2.5,high,ant,NA,2598,NA,D2,D,2,2.2
2,13,C56,2.5,high,ant,NA,14369.25,NA,E2,E,2,2.2
2,14,C56,2.5,high,ant,NA,8789.75,NA,F2,F,2,2.2
2,15,C56,2.5,high,ant,NA,4784.25,NA,G2,G,2,2.2
2,16,C56,2.5,high,ant,NA,953.25,NA,H2,H,2,2.2
2,17,C56,2.5,high,ant,NA,7665,NA,A3,A,3,2.2
2,18,C56,2.5,high,ant,NA,921,NA,B3,B,3,2.2
2,19,C56,2.5,high,ant,NA,2777.75,NA,C3,C,3,2.2
2,20,C56,2.5,high,ant,NA,7973.75,NA,D3,D,3,2.2
2,21,C56,2.5,high,ant,NA,1133.5,NA,E3,E,3,2.2
2,1,C62,2.6,control,ant,NA,12798,NA,F3,F,3,2.2
2,2,C62,2.6,control,ant,NA,4086.5,NA,G3,G,3,2.2
2,3,C62,2.6,control,ant,NA,2025.5,NA,H3,H,3,2.2
2,4,C62,2.6,control,ant,NA,22675.25,NA,A4,A,4,2.2
2,5,C62,2.6,control,ant,NA,812,NA,B4,B,4,2.2
2,6,C62,2.6,control,ant,NA,10776.5,NA,C4,C,4,2.2
2,7,C62,2.6,control,ant,NA,12001.5,NA,D4,D,4,2.2
2,8,C62,2.6,control,ant,NA,18343.5,NA,E4,E,4,2.2
2,9,C62,2.6,control,ant,NA,25190,NA,F4,F,4,2.2
2,10,C62,2.6,control,ant,NA,6420.5,NA,G4,G,4,2.2
2,11,C62,2.6,control,ant,NA,10063,NA,H4,H,4,2.2
2,12,C62,2.6,control,ant,NA,9455.5,NA,A5,A,5,2.2
2,13,C62,2.6,control,ant,NA,10525.25,NA,B5,B,5,2.2
2,14,C62,2.6,control,ant,NA,15682.25,NA,C5,C,5,2.2
2,15,C62,2.6,control,ant,NA,8977,NA,D5,D,5,2.2
2,16,C62,2.6,control,ant,NA,684,NA,E5,E,5,2.2
2,17,C62,2.6,control,ant,NA,593,NA,F5,F,5,2.2
2,18,C62,2.6,control,ant,NA,8094.75,NA,G5,G,5,2.2
2,19,C62,2.6,control,ant,NA,2095,NA,H5,H,5,2.2
2,20,C62,2.6,control,ant,NA,581.75,NA,A6,A,6,2.2
2,21,C62,2.6,control,ant,NA,600.75,NA,B6,B,6,2.2
2,1,C62,2.7,low,ant,NA,22697,NA,C6,C,6,2.2
2,2,C62,2.7,low,ant,NA,23473.5,NA,D6,D,6,2.2
2,3,C62,2.7,low,ant,NA,15106,NA,E6,E,6,2.2
2,4,C62,2.7,low,ant,NA,8618.75,NA,F6,F,6,2.2
2,5,C62,2.7,low,ant,NA,22551.75,NA,G6,G,6,2.2
2,6,C62,2.7,low,ant,NA,10588.5,NA,H6,H,6,2.2
2,7,C62,2.7,low,ant,NA,12235.75,NA,A7,A,7,2.2
2,8,C62,2.7,low,ant,NA,8248.75,NA,B7,B,7,2.2
2,9,C62,2.7,low,ant,NA,13511.75,NA,C7,C,7,2.2
2,10,C62,2.7,low,ant,NA,15299.75,NA,D7,D,7,2.2
2,11,C62,2.7,low,ant,NA,21462.5,NA,E7,E,7,2.2
2,12,C62,2.7,low,ant,NA,26174.75,NA,F7,F,7,2.2
2,13,C62,2.7,low,ant,NA,13799.5,NA,G7,G,7,2.2
2,14,C62,2.7,low,ant,NA,7753.5,NA,H7,H,7,2.2
2,15,C62,2.7,low,ant,NA,9642.5,NA,A8,A,8,2.2
2,16,C62,2.7,low,ant,NA,10982.25,NA,B8,B,8,2.2
2,17,C62,2.7,low,ant,NA,9327.5,NA,C8,C,8,2.2
2,18,C62,2.7,low,ant,NA,525.75,NA,D8,D,8,2.2
2,19,C62,2.7,low,ant,NA,10299,NA,E8,E,8,2.2
2,20,C62,2.7,low,ant,NA,17858.75,NA,F8,F,8,2.2
2,21,C62,2.7,low,ant,NA,21802,NA,G8,G,8,2.2
2,1,C62,2.8,mid,ant,NA,10359.25,NA,H8,H,8,2.2
2,2,C62,2.8,mid,ant,NA,3054.5,NA,A9,A,9,2.2
2,3,C62,2.8,mid,ant,NA,570,NA,B9,B,9,2.2
2,4,C62,2.8,mid,ant,NA,9105.5,NA,C9,C,9,2.2
2,5,C62,2.8,mid,ant,NA,7921.25,NA,D9,D,9,2.2
2,6,C62,2.8,mid,ant,NA,1719,NA,E9,E,9,2.2
2,7,C62,2.8,mid,ant,NA,16923.5,NA,F9,F,9,2.2
2,8,C62,2.8,mid,ant,NA,4830.5,NA,G9,G,9,2.2
2,9,C62,2.8,mid,ant,NA,626.5,NA,H9,H,9,2.2
2,10,C62,2.8,mid,ant,NA,2107,NA,A10,A,10,2.2
2,11,C62,2.8,mid,ant,NA,9722.75,NA,B10,B,10,2.2
2,12,C62,2.8,mid,ant,NA,16092,NA,C10,C,10,2.2
2,13,C62,2.8,mid,ant,NA,9682.25,NA,D10,D,10,2.2
2,14,C62,2.8,mid,ant,NA,17793.25,NA,E10,E,10,2.2
2,15,C62,2.8,mid,ant,NA,14130.25,NA,F10,F,10,2.2
2,16,C62,2.8,mid,ant,NA,19608.75,NA,G10,G,10,2.2
2,17,C62,2.8,mid,ant,NA,2713.5,NA,H10,H,10,2.2
2,18,C62,2.8,mid,ant,NA,7803.5,NA,A11,A,11,2.2
2,19,C62,2.8,mid,ant,NA,16494.5,NA,B11,B,11,2.2
2,20,C62,2.8,mid,ant,NA,1980.25,NA,C11,C,11,2.2
2,21,C62,2.8,mid,ant,NA,6123.75,NA,D11,D,11,2.2
2,22,C62,2.8,mid,ant,NA,12746,NA,E11,E,11,2.2
2,1,C62,2.9,mid,ant,NA,11001.5,NA,F11,F,11,2.2
2,2,C62,2.9,mid,ant,NA,8130.75,NA,G11,G,11,2.2
2,3,C62,2.9,mid,ant,NA,11573.25,NA,H11,H,11,2.2
2,4,C62,2.9,mid,ant,NA,6636.5,NA,A12,A,12,2.2
2,5,C62,2.9,mid,ant,NA,9843,NA,B12,B,12,2.2
2,6,C62,2.9,mid,ant,NA,6219,NA,C12,C,12,2.2
2,7,C62,2.9,mid,ant,NA,20901.75,NA,D12,D,12,2.2
2,8,C62,2.9,mid,ant,NA,6302.5,NA,E12,E,12,2.2
2,9,C62,2.9,mid,ant,NA,14382,NA,F12,F,12,2.2
2,10,C62,2.9,mid,ant,NA,11518.5,NA,G12,G,12,2.2
2,11,C62,2.9,mid,ant,NA,19806.5,NA,H12,H,12,2.2
2,12,C62,2.9,mid,ant,NA,6985.5,NA,A1,A,1,2.3
2,13,C62,2.9,mid,ant,NA,833.75,NA,B1,B,1,2.3
2,14,C62,2.9,mid,ant,NA,990,NA,C1,C,1,2.3
2,15,C62,2.9,mid,ant,NA,27127.5,NA,D1,D,1,2.3
2,16,C62,2.9,mid,ant,NA,5706.25,NA,E1,E,1,2.3
2,17,C62,2.9,mid,ant,NA,2394.5,NA,F1,F,1,2.3
2,18,C62,2.9,mid,ant,NA,11134.75,NA,G1,G,1,2.3
2,19,C62,2.9,mid,ant,NA,8723.25,NA,H1,H,1,2.3
2,20,C62,2.9,mid,ant,NA,634.25,NA,A2,A,2,2.3
2,21,C62,2.9,mid,ant,NA,10039,NA,B2,B,2,2.3
2,1,C62,3,high,ant,NA,5726.5,NA,C2,C,2,2.3
2,2,C62,3,high,ant,NA,2807.5,NA,D2,D,2,2.3
2,3,C62,3,high,ant,NA,4505.75,NA,E2,E,2,2.3
2,4,C62,3,high,ant,NA,4245,NA,F2,F,2,2.3
2,5,C62,3,high,ant,NA,7945.75,NA,G2,G,2,2.3
2,6,C62,3,high,ant,NA,1767.25,NA,H2,H,2,2.3
2,7,C62,3,high,ant,NA,1118.75,NA,A3,A,3,2.3
2,8,C62,3,high,ant,NA,1129.75,NA,B3,B,3,2.3
2,9,C62,3,high,ant,NA,3009.75,NA,C3,C,3,2.3
2,10,C62,3,high,ant,NA,7765.25,NA,D3,D,3,2.3
2,11,C62,3,high,ant,NA,3997.75,NA,E3,E,3,2.3
2,12,C62,3,high,ant,NA,3625.75,NA,F3,F,3,2.3
2,13,C62,3,high,ant,NA,1851.25,NA,G3,G,3,2.3
2,14,C62,3,high,ant,NA,602,NA,H3,H,3,2.3
2,15,C62,3,high,ant,NA,3228.5,NA,A4,A,4,2.3
2,16,C62,3,high,ant,NA,1504.5,NA,B4,B,4,2.3
2,17,C62,3,high,ant,NA,3639.5,NA,C4,C,4,2.3
2,18,C62,3,high,ant,NA,2913.25,NA,D4,D,4,2.3
2,19,C62,3,high,ant,NA,16254.75,NA,E4,E,4,2.3
2,20,C62,3,high,ant,NA,1992.5,NA,F4,F,4,2.3
2,21,C62,3,high,ant,NA,1908.25,NA,G4,G,4,2.3
2,1,C34,3.1,control,ant,NA,11821.5,NA,H4,H,4,2.3
2,2,C34,3.1,control,ant,NA,14630.5,NA,A5,A,5,2.3
2,3,C34,3.1,control,ant,NA,9416.5,NA,B5,B,5,2.3
2,4,C34,3.1,control,ant,NA,9101.75,NA,C5,C,5,2.3
2,5,C34,3.1,control,ant,NA,744.5,NA,D5,D,5,2.3
2,6,C34,3.1,control,ant,NA,7169.5,NA,E5,E,5,2.3
2,7,C34,3.1,control,ant,NA,6871.25,NA,F5,F,5,2.3
2,8,C34,3.1,control,ant,NA,539.75,NA,G5,G,5,2.3
2,9,C34,3.1,control,ant,NA,8382.25,NA,H5,H,5,2.3
2,10,C34,3.1,control,ant,NA,28065.75,NA,A6,A,6,2.3
2,11,C34,3.1,control,ant,NA,383.75,NA,B6,B,6,2.3
2,12,C34,3.1,control,ant,NA,7561.75,NA,C6,C,6,2.3
2,13,C34,3.1,control,ant,NA,21993.25,NA,D6,D,6,2.3
2,14,C34,3.1,control,ant,NA,29421,NA,E6,E,6,2.3
2,15,C34,3.1,control,ant,NA,19649,NA,F6,F,6,2.3
2,16,C34,3.1,control,ant,NA,747,NA,G6,G,6,2.3
2,17,C34,3.1,control,ant,NA,24007.75,NA,H6,H,6,2.3
2,18,C34,3.1,control,ant,NA,731.25,NA,A7,A,7,2.3
2,19,C34,3.1,control,ant,NA,12475.25,NA,B7,B,7,2.3
2,20,C34,3.1,control,ant,NA,721.75,NA,C7,C,7,2.3
2,21,C34,3.1,control,ant,NA,7788.5,NA,D7,D,7,2.3
2,22,C34,3.1,control,ant,NA,16016.5,NA,E7,E,7,2.3
2,1,C34,3.2,low,ant,NA,13761.25,NA,F7,F,7,2.3
2,2,C34,3.2,low,ant,NA,15313.75,NA,G7,G,7,2.3
2,3,C34,3.2,low,ant,NA,2169.25,NA,H7,H,7,2.3
2,4,C34,3.2,low,ant,NA,13483.5,NA,A8,A,8,2.3
2,5,C34,3.2,low,ant,NA,11555.25,NA,B8,B,8,2.3
2,6,C34,3.2,low,ant,NA,20217.25,NA,C8,C,8,2.3
2,7,C34,3.2,low,ant,NA,13753.75,NA,D8,D,8,2.3
2,8,C34,3.2,low,ant,NA,10311.75,NA,E8,E,8,2.3
2,9,C34,3.2,low,ant,NA,9961.5,NA,F8,F,8,2.3
2,10,C34,3.2,low,ant,NA,13133,NA,G8,G,8,2.3
2,11,C34,3.2,low,ant,NA,14300.75,NA,H8,H,8,2.3
2,12,C34,3.2,low,ant,NA,19765.25,NA,A9,A,9,2.3
2,13,C34,3.2,low,ant,NA,11321,NA,B9,B,9,2.3
2,14,C34,3.2,low,ant,NA,10504.25,NA,C9,C,9,2.3
2,15,C34,3.2,low,ant,NA,16173.75,NA,D9,D,9,2.3
2,16,C34,3.2,low,ant,NA,22469.25,NA,E9,E,9,2.3
2,17,C34,3.2,low,ant,NA,11211.5,NA,F9,F,9,2.3
2,18,C34,3.2,low,ant,NA,24478,NA,G9,G,9,2.3
2,19,C34,3.2,low,ant,NA,14174,NA,H9,H,9,2.3
2,20,C34,3.2,low,ant,NA,823.75,NA,A10,A,10,2.3
2,21,C34,3.2,low,ant,NA,10581.75,NA,B10,B,10,2.3
2,22,C34,3.2,low,ant,NA,1674.25,NA,C10,C,10,2.3
2,23,C34,3.2,low,ant,NA,11797.5,NA,D10,D,10,2.3
2,1,C34,3.3,mid,ant,NA,4582.75,NA,E10,E,10,2.3
2,2,C34,3.3,mid,ant,NA,390,NA,F10,F,10,2.3
2,3,C34,3.3,mid,ant,NA,8064,NA,G10,G,10,2.3
2,4,C34,3.3,mid,ant,NA,5449.5,NA,H10,H,10,2.3
2,5,C34,3.3,mid,ant,NA,5449.5,NA,A11,A,11,2.3
2,6,C34,3.3,mid,ant,NA,5050.25,NA,B11,B,11,2.3
2,7,C34,3.3,mid,ant,NA,5766.75,NA,C11,C,11,2.3
2,8,C34,3.3,mid,ant,NA,6026.5,NA,D11,D,11,2.3
2,9,C34,3.3,mid,ant,NA,8388.5,NA,E11,E,11,2.3
2,10,C34,3.3,mid,ant,NA,13349.5,NA,F11,F,11,2.3
2,11,C34,3.3,mid,ant,NA,6583,NA,G11,G,11,2.3
2,12,C34,3.3,mid,ant,NA,6322.5,NA,H11,H,11,2.3
2,13,C34,3.3,mid,ant,NA,20757,NA,A12,A,12,2.3
2,14,C34,3.3,mid,ant,NA,659.5,NA,B12,B,12,2.3
2,15,C34,3.3,mid,ant,NA,3726.75,NA,C12,C,12,2.3
2,16,C34,3.3,mid,ant,NA,4054,NA,D12,D,12,2.3
2,17,C34,3.3,mid,ant,NA,23462.75,NA,E12,E,12,2.3
2,18,C34,3.3,mid,ant,NA,5203.25,NA,F12,F,12,2.3
2,19,C34,3.3,mid,ant,NA,7039,NA,G12,G,12,2.3
2,20,C34,3.3,mid,ant,NA,6254.25,NA,H12,H,12,2.3
2,21,C34,3.3,mid,ant,NA,19496.75,NA,A1,A,1,2.4
2,22,C34,3.3,mid,ant,NA,6242.5,NA,B1,B,1,2.4
2,23,C34,3.3,mid,ant,NA,8021.25,NA,C1,C,1,2.4
2,24,C34,3.3,mid,ant,NA,19575.25,NA,D1,D,1,2.4
