concentration	petri_dish	ant_ID	survival	censor			
10	10_2	10					
10	10_2	11					
10	10_2	12					
10	10_2	13					
10	10_2	14					
10	10_2	15					
10	10_3	1	4	1			
10	10_3	2					
10	10_3	3					
10	10_3	4					
10	10_3	5					
10	10_3	6					
10	10_3	7					
10	10_3	8					
10	10_3	9					
10	10_3	10					
10	10_3	11					
10	10_3	12					
10	10_3	13					
10	10_3	14					
10	10_3	15					
10	10_4	1	20	1			
10	10_4	2					
10	10_4	3					
10	10_4	4					
10	10_4	5					
10	10_4	6					
10	10_4	7					
10	10_4	8					
10	10_4	9					
10	10_4	10					
10	10_4	11					
10	10_4	12					
10	10_4	13					
10	10_4	14					
10	10_4	15					
50	50_1	1	1	1			
50	50_1	2	3	1			
50	50_1	3	5	1			
50	50_1	4	20	1			
50	50_1	5					
50	50_1	6					
50	50_1	7					
50	50_1	8					
50	50_1	9					
50	50_1	10					
50	50_1	11					
50	50_1	12					
50	50_1	13					
50	50_1	14					
50	50_1	15					
50	50_2	1	4	1			
50	50_2	2	5	1			
50	50_2	3	12	1			
50	50_2	4	15	1			
50	50_2	5					
50	50_2	6					
50	50_2	7					
50	50_2	8					
50	50_2	9					
50	50_2	10					
50	50_2	11					
50	50_2	12					
50	50_2	13					
50	50_2	14					
50	50_2	15					
50	50_3	1	2	1			
50	50_3	2	2	1			
50	50_3	3	10	1			
50	50_3	4	13	1			
50	50_3	5	18	1			
50	50_3	6					
50	50_3	7					
50	50_3	8					
50	50_3	9					
50	50_3	10					
50	50_3	11					
50	50_3	12					
50	50_3	13					
50	50_3	14					
50	50_3	15					
50	50_4	1	10	1			
50	50_4	2	12	1			
50	50_4	3					
50	50_4	4					
50	50_4	5					
50	50_4	6					
50	50_4	7					
50	50_4	8					
50	50_4	9					
50	50_4	10					
50	50_4	11					
50	50_4	12					
50	50_4	13					
50	50_4	14					
50	50_4	15					
100	100_1	1	3	1			
100	100_1	2	4	1			
100	100_1	3	9	1			
100	100_1	4	20	1			
100	100_1	5					
100	100_1	6					
100	100_1	7					
100	100_1	8					
100	100_1	9					
100	100_1	10					
100	100_1	11					
100	100_1	12					
100	100_1	13					
100	100_1	14					
100	100_1	15					
100	100_2	1	7	1			
100	100_2	2					
100	100_2	3					
100	100_2	4					
100	100_2	5					
100	100_2	6					
100	100_2	7					
100	100_2	8					
100	100_2	9					
100	100_2	10					
100	100_2	11					
100	100_2	12					
100	100_2	13					
100	100_2	14					
100	100_2	15					
100	100_3	1	1	1			
100	100_3	2	2	1			
100	100_3	3	2	1			
100	100_3	4	8	1			
100	100_3	5	11	1			
100	100_3	6	12	1			
100	100_3	7	20	1			
100	100_3	8					
100	100_3	9					
100	100_3	10					
100	100_3	11					
100	100_3	12					
100	100_3	13					
100	100_3	14					
100	100_3	15					
100	100_4	1	7	1			
100	100_4	2	9	1			
100	100_4	3	10	1			
100	100_4	4	11	1			
100	100_4	5	12	1			
100	100_4	6	18	1			
100	100_4	7	18	1			
100	100_4	8	20	1			
100	100_4	9	20	1			
100	100_4	10					
100	100_4	11					
100	100_4	12					
100	100_4	13					
100	100_4	14					
100	100_4	15					
500	500_1	1	1	1			
500	500_1	2	3	1			
500	500_1	3	3	1			
500	500_1	4	8	1			
500	500_1	5	13	1			
500	500_1	6	15	1			
500	500_1	7	15	1			
500	500_1	8	15	1			
500	500_1	9	16	1			
500	500_1	10	17	1			
500	500_1	11	20	1			
500	500_1	12					
500	500_1	13					
500	500_1	14					
500	500_1	15					
500	500_2	1	6	1			
500	500_2	2	8	1			
500	500_2	3	8	1			
500	500_2	4	8	1			
500	500_2	5	12	1			
500	500_2	6	13	1			
500	500_2	7	13	1			
500	500_2	8	13	1			
500	500_2	9	13	1			
500	500_2	10					
500	500_2	11					
500	500_2	12					
500	500_2	13					
500	500_2	14					
500	500_2	15					
500	500_3	1	3	1			
500	500_3	2	3	1			
500	500_3	3	3	1			
500	500_3	4	4	1			
500	500_3	5	5	1			
500	500_3	6	5	1			
500	500_3	7	6	1			
500	500_3	8	6	1			
500	500_3	9	6	1			
500	500_3	10	6	1			
500	500_3	11	6	1			
500	500_3	12	7	1			
500	500_3	13	7	1			
500	500_3	14	11	1			
500	500_3	15	16	1			
500	500_4	1	2	1			
500	500_4	2	3	1			
500	500_4	3	4	1			
500	500_4	4	5	1			
500	500_4	5	8	1			
500	500_4	6	11	1			
500	500_4	7	13	1			
500	500_4	8	15	1			
500	500_4	9	17	1			
500	500_4	10					
500	500_4	11					
500	500_4	12					
500	500_4	13					
500	500_4	14					
500	500_4	15					
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
