sample_id,spore_concentration[ng/ul]
873,0.008472054
874,0.002052619
875,0.378856597
876,0.001761272
877,0.010207591
878,0.005682738
879,0.0040741
880,0.001201217
881,0.001840765
882,0.042120125
883,0.015597068
884,0.066947584
885,0.262624984
886,0.003055379
887,0.00084939
888,0.127823172
889,0.001816381
890,0.006112361
891,0.000964103
892,0.000929389
893,0.014065687
894,0.000355819
895,1.67336E-05
896,0.023346818
897,0.006688055
898,0.000213656
899,0.000889972
900,0.002718891
901,0.000695406
902,0.000996785
903,0.002014137
904,0.001336622
905,0.016840018
906,0.000704741
907,0.003744392
908,0.000644079
909,0.003244334
910,0.040333708
911,0.000594554
912,0.001638042
913,0.005892277
914,0.001739344
915,0.001267196
916,0.031411059
917,0.050427944
918,0.00151209
919,0.005208519
920,0.004573511
921,0.000200736
922,0.000791573
923,0.000672287
924,0.001254676
925,0.003476757
926,0.190780453
927,0.001956494
928,9.77919E-06
929,0.000950473
930,0.003288941
931,0.112016333
932,0.002952827
933,4.75299E-05
934,0.000232524
935,0.004257312
936,0.001283697
937,NA
938,0.000406509
939,0.000292267
940,0.2159959
941,0.005386217
942,7.60788E-05
943,0.003639457
944,0.000305944
945,0.00129634
946,0.000950473
947,0.067511638
948,0.001918519
949,0.013011883
950,0.006218818
951,2.96941E-05
952,0.006573947
953,0.001072587
954,0.000536615
955,0.000280115
956,0.001001473
957,0.000899128
958,0.015933135
959,3.43964E-05
960,NA
961,0.00293397
962,0.002868102
963,0.003840417
964,0.005277543
965,0.005294689
966,0.00350699
967,0.052797648
968,0.002610611
969,0.001009231
970,0.038922077
971,0.001508935
972,0.00046184
973,0.001869154
974,0.020677494
975,0.001042504
976,0.000986574
977,0.000860922
978,0.001513837
979,0.003742042
980,0.000681612
981,0.006453149
982,0.00990196
983,0.000986574
984,0.000420377
985,0.009493098
986,0.00065772
987,0.46242397
988,0.019504785
989,0.0016153
990,0.000425867
991,0.001513837
992,0.196399954
993,0.000282994
994,0.000438483
995,0.115375406
996,0.00135137
997,0.027330452
998,0.001226064
999,0.001631096
1000,0.000809466
1001,0.017431772
1002,0.031909502
1003,0.000496784
1004,0.001301854
1005,0.008421349
1006,0.002031839
1007,0.003129287
1008,0.173090882
1009,0.004068383
1010,6.39732E-05
1011,0.007958938
1012,0.0009401
1013,0.019067576
1014,0.001095317
1015,0.000747524
1016,0.000780514
1017,0.193145493
1018,0.000290996
1019,1.581751948
1020,0.175406283
1021,0.004333451
1022,0.000685668
1023,0.001276162
1024,0.002860826
1025,0.001178366
1026,0.001206089
1027,0.176575573
1028,0.001779016
1029,0.001790875
1030,0.056315559
1031,0.002045384
1032,0.000396334
1033,0.013408035
1034,0.005728276
1035,0.002079642
1036,0.000213655
1037,0.001738124
1038,0.000345867
1039,0.002375189
1040,0.001506756
1041,0.215276557
1042,0.350944195
1043,0.082232709
1044,0.32634275
1045,0.165675069
1046,0.0490102
1047,0.161574563
1048,0.124971287
1049,0.534677766
1050,0.123879882
1051,0.309611591
1052,0.091131747
1053,0.127822114
1054,0.347008558
1055,0.172021771
1056,0.660789852
1729,0.249582049
1730,0.148377076
1730,0.196950884
