"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
76,108,2022-04-19 10:10:25,2022-04-19 10:10:45,195,312,1,"1-1",5080.60597715898,2616.69704282186,0.376637214275438,5189.22109880391,2749.86709464291,-2.24759769878479,"1","1",114,"ant_76","ant_108","76_108",2022-04-19 10:10:25,2022-04-19 10:10:45,1650363025.556,1650363045.055,195,312,19.6656667391459,171,"ant_108","ant_76",1,"whole_experiment","c25"
87,102,2022-04-19 10:10:42,2022-04-19 10:11:18,297,515,1,"1-1",6360.66531462825,3183.5390749717,0.0209971324224041,6553.90482848133,3125.08430866045,2.71147546394009,"1","1",200,"ant_87","ant_102","87_102",2022-04-19 10:10:42,2022-04-19 10:11:18,1650363042.555,1650363078.889,297,515,36.5006665388743,256,"ant_87","ant_102",1,"whole_experiment","c25"
28,145,2022-04-19 10:10:42,2022-04-19 10:11:20,297,527,1,"1-1",4897.39504340925,1585.93193912818,-3.13506922128982,4760.14324306321,1707.26352850801,-1.27222259164401,"1","1",203,"ant_28","ant_145","28_145",2022-04-19 10:10:42,2022-04-19 10:11:20,1650363042.555,1650363080.889,297,527,38.5006665388743,261,"ant_145","ant_28",1,"whole_experiment","c25"
100,111,2022-04-19 10:11:53,2022-04-19 10:12:26,723,920,1,"1-1",7090.8861746364,2705.31417558504,2.85945268047097,6957.61477097244,2841.32158353092,-1.1904182899877,"1","1",197,"ant_100","ant_111","100_111",2022-04-19 10:11:53,2022-04-19 10:12:26,1650363113.556,1650363146.389,723,920,32.9996666113536,417,"ant_111","ant_100",1,"whole_experiment","c25"
113,141,2022-04-19 10:14:29,2022-04-19 10:14:44,1657,1750,1,"1-1",6884.1013967277,1653.60888904802,-1.87690333999615,6752.29389928323,1488.32554335072,0.914609571447889,"1","1",34,"ant_113","ant_141","113_141",2022-04-19 10:14:29,2022-04-19 10:14:44,1650363269.223,1650363284.723,1657,1750,15.6666666666667,703,"ant_113","ant_141",1,"whole_experiment","c25"
78,110,2022-04-19 10:14:49,2022-04-19 10:15:11,1781,1912,1,"1-1",5193.19122550569,2704.38308406963,1.21547754114792,5217.47534313938,2898.77513617183,-1.04208298122678,"1","1",109,"ant_78","ant_110","78_110",2022-04-19 10:14:49,2022-04-19 10:15:11,1650363289.89,1650363311.723,1781,1912,21.9996666113536,762,"ant_78","ant_110",1,"whole_experiment","c25"
58,122,2022-04-19 10:16:04,2022-04-19 10:16:10,2231,2265,1,"1-1",5390.26910236201,1591.74817208416,-2.52968822502047,5225.09875247077,1642.63919861579,-0.807397360865245,"1","1",24,"ant_58","ant_122","58_122",2022-04-19 10:16:04,2022-04-19 10:16:10,1650363364.89,1650363370.557,2231,2265,5.8336664835612,849,"ant_58","ant_122",1,"whole_experiment","c25"
78,110,2022-04-19 10:16:22,2022-04-19 10:16:29,2338,2381,1,"1-1",5215.33926100096,2990.18120518805,-1.20486921018507,5275.24444692144,2797.03100151143,1.46013503574441,"1","1",44,"ant_78","ant_110","78_110",2022-04-19 10:16:22,2022-04-19 10:16:29,1650363382.723,1650363389.89,2338,2381,7.33366672197978,882,"ant_110","ant_78",1,"whole_experiment","c25"
7,40,2022-04-19 10:18:04,2022-04-19 10:18:13,2949,3002,1,"1-1",6061.2587604929,1768.8531409431,-0.424427098388568,6257.90049002591,1710.26605675667,2.86787355792386,"1","1",54,"ant_7","ant_40","7_40",2022-04-19 10:18:04,2022-04-19 10:18:13,1650363484.557,1650363493.39,2949,3002,8.99966684977213,1059,"ant_7","ant_40",1,"whole_experiment","c25"
63,73,2022-04-19 10:18:14,2022-04-19 10:18:36,3010,3139,1,"1-1",5138.66043337532,2847.16538963695,0.952170171119626,5298.54368557344,2959.92968373433,-2.67081926695604,"1","1",130,"ant_63","ant_73","63_73",2022-04-19 10:18:14,2022-04-19 10:18:36,1650363494.724,1650363516.223,3010,3139,21.6656667391459,1085,"ant_73","ant_63",1,"whole_experiment","c25"
