"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
110,145,2022-04-16 10:03:18,2022-04-16 10:03:35,382,479,1,"1-1",5579.41686455199,1624.78565976352,-0.857832620600342,5705.94531310676,1495.48055469247,2.09824996093073,"1","1",57,"ant_110","ant_145","110_145",2022-04-16 10:03:18,2022-04-16 10:03:35,1650103398.857,1650103415.023,382,479,16.3326665560404,36,"ant_110","ant_145",1,"whole_experiment","c24"
100,106,2022-04-16 10:03:32,2022-04-16 10:04:11,462,695,1,"1-1",6736.30116642808,1905.98494143756,2.66091948134552,6573.51788640084,2011.22085092947,-1.07159553069046,"1","1",96,"ant_100","ant_106","100_106",2022-04-16 10:03:32,2022-04-16 10:04:11,1650103412.19,1650103451.024,462,695,39.0006665388743,53,"ant_100","ant_106",1,"whole_experiment","c24"
79,95,2022-04-16 10:02:46,2022-04-16 10:04:50,189,932,1,"1-1",5796.85839807084,1748.46515840656,1.63512325770901,5891.1894762572,1902.84834969447,-2.55017915965018,"1","1",736,"ant_79","ant_95","79_95",2022-04-16 10:02:46,2022-04-16 10:04:50,1650103366.69,1650103490.524,189,932,124.000666538874,86,"ant_79","ant_95",1,"whole_experiment","c24"
93,109,2022-04-16 10:05:11,2022-04-16 10:05:32,1058,1182,1,"1-1",6724.92275379105,1323.52339561707,1.50114656323576,6755.08142115597,1506.29213276939,-2.01382663595504,"1","1",125,"ant_93","ant_109","93_109",2022-04-16 10:05:11,2022-04-16 10:05:32,1650103511.524,1650103532.191,1058,1182,20.8336667219798,110,"ant_109","ant_93",1,"whole_experiment","c24"
78,138,2022-04-16 10:06:51,2022-04-16 10:07:23,1659,1852,1,"1-1",6677.96803812393,1743.11822147962,-1.97136927820097,6554.5849409763,1587.72787463041,0.537985409728723,"1","1",84,"ant_78","ant_138","78_138",2022-04-16 10:06:51,2022-04-16 10:07:23,1650103611.691,1650103643.858,1659,1852,32.3336667219798,187,"ant_78","ant_138",1,"whole_experiment","c24"
69,140,2022-04-16 10:08:53,2022-04-16 10:09:42,2388,2685,1,"1-1",6578.49527064579,3721.26452529889,2.22170898814116,6393.60045900634,3774.64050869618,0.182006700806827,"1","1",200,"ant_69","ant_140","69_140",2022-04-16 10:08:53,2022-04-16 10:09:42,1650103733.191,1650103782.692,2388,2685,49.6676665941874,265,"ant_69","ant_140",1,"whole_experiment","c24"
31,78,2022-04-16 10:07:06,2022-04-16 10:09:48,1748,2717,1,"1-1",6515.27411553011,1689.71990923249,-0.0289545474518192,6697.11015578217,1746.96471148275,-2.37124603539488,"1","1",935,"ant_31","ant_78","31_78",2022-04-16 10:07:06,2022-04-16 10:09:48,1650103626.524,1650103788.025,1748,2717,161.667666832606,268,"ant_31","ant_78",1,"whole_experiment","c24"
106,117,2022-04-16 10:10:20,2022-04-16 10:11:29,2913,3327,1,"1-1",6727.40261634178,2023.10449651284,1.95254509894024,6657.04059212023,2208.50741824,-0.742181124942586,"1","1",262,"ant_106","ant_117","106_117",2022-04-16 10:10:20,2022-04-16 10:11:29,1650103820.692,1650103889.692,2913,3327,69.1666666666667,422,"ant_106","ant_117",1,"whole_experiment","c24"
65,83,2022-04-16 10:11:05,2022-04-16 10:11:40,3183,3392,1,"1-1",5993.11142432003,2257.11022711531,-3.04444371374224,5811.25311087788,2204.43037243078,0.4178643427676,"1","1",210,"ant_65","ant_83","65_83",2022-04-16 10:11:05,2022-04-16 10:11:40,1650103865.692,1650103900.525,3183,3392,34.9996668497721,432,"ant_65","ant_83",1,"whole_experiment","c24"
12,46,2022-04-16 10:11:24,2022-04-16 10:11:59,3297,3507,1,"1-1",6732.60364563996,3363.65464024084,2.27394551600275,6568.40130403215,3445.19830466958,-0.262690983558642,"1","1",174,"ant_12","ant_46","12_46",2022-04-16 10:11:24,2022-04-16 10:11:59,1650103884.692,1650103919.692,3297,3507,35.1666666666667,454,"ant_46","ant_12",1,"whole_experiment","c24"
37,39,2022-04-16 10:11:35,2022-04-16 10:12:46,3362,3790,1,"1-1",6830.84692564563,2336.80224928235,1.88119090575919,6739.33602021247,2455.08044508831,0.260331920181693,"1","1",318,"ant_37","ant_39","37_39",2022-04-16 10:11:35,2022-04-16 10:12:46,1650103895.525,1650103966.859,3362,3790,71.5006665388743,504,"ant_39","ant_37",1,"whole_experiment","c24"
5,54,2022-04-16 10:12:38,2022-04-16 10:12:59,3737,3866,1,"1-1",5163.0275650638,3229.4328374919,2.33519595459918,4978.7227148498,3295.1480535181,0.21283032483478,"1","1",124,"ant_5","ant_54","5_54",2022-04-16 10:12:38,2022-04-16 10:12:59,1650103958.026,1650103979.526,3737,3866,21.6666666666667,512,"ant_5","ant_54",1,"whole_experiment","c24"
26,39,2022-04-16 10:14:15,2022-04-16 10:14:49,4322,4526,1,"1-1",6869.90408864188,2428.85402603986,1.62149939655452,6747.06921994364,2478.80160978169,0.489739750870595,"1","1",74,"ant_26","ant_39","26_39",2022-04-16 10:14:15,2022-04-16 10:14:49,1650104055.526,1650104089.526,4322,4526,34.1666666666667,577,"ant_26","ant_39",1,"whole_experiment","c24"
14,143,2022-04-16 10:12:40,2022-04-16 10:15:09,3750,4646,1,"1-1",5253.87154410539,1667.19132047736,1.85119474839635,5166.56125317783,1836.69521333917,-0.599703315139236,"1","1",779,"ant_14","ant_143","14_143",2022-04-16 10:12:40,2022-04-16 10:15:09,1650103960.192,1650104109.526,3750,4646,149.500666777293,589,"ant_14","ant_143",1,"whole_experiment","c24"
37,80,2022-04-16 10:14:46,2022-04-16 10:15:19,4506,4703,1,"1-1",5588.20427444988,1340.11933833343,1.62174980369934,5690.9651829279,1459.84293883754,-2.77302088540826,"1","1",198,"ant_37","ant_80","37_80",2022-04-16 10:14:46,2022-04-16 10:15:19,1650104086.193,1650104119.026,4506,4703,32.9996666113536,596,"ant_80","ant_37",1,"whole_experiment","c24"
