"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
14,87,2022-04-22 10:10:09,2022-04-22 10:10:36,1,164,1,"1-1",6908.9078127672,1974.88025552769,1.24667232809681,6999.0179905915,2146.23793369551,-2.37120929130947,"1","1",164,"ant_14","ant_87","14_87",2022-04-22 10:10:09,2022-04-22 10:10:36,1650622209.28,1650622236.446,1,164,27.332666794459,103,"ant_87","ant_14",1,"whole_experiment","c27"
6,91,2022-04-22 10:10:09,2022-04-22 10:11:05,1,338,1,"1-1",5132.07786988962,3644.88715791697,-0.737893885695301,5302.49461392996,3529.24652202113,2.97907349745169,"1","1",191,"ant_6","ant_91","6_91",2022-04-22 10:10:09,2022-04-22 10:11:05,1650622209.28,1650622265.447,1,338,56.3336667219798,209,"ant_91","ant_6",1,"whole_experiment","c27"
116,155,2022-04-22 10:10:42,2022-04-22 10:11:21,200,432,1,"1-1",6740.76879131349,4080.38917514989,-2.15350031016155,6581.63089848595,4047.45393305199,-0.512759091964924,"1","1",224,"ant_116","ant_155","116_155",2022-04-22 10:10:42,2022-04-22 10:11:21,1650622242.446,1650622281.113,200,432,38.8336664835612,276,"ant_116","ant_155",1,"whole_experiment","c27"
34,77,2022-04-22 10:11:37,2022-04-22 10:11:59,531,661,1,"1-1",6487.62522924648,3082.31416608863,-1.98099116196947,6481.09288349462,2904.93077258263,2.04799695220235,"1","1",129,"ant_34","ant_77","34_77",2022-04-22 10:11:37,2022-04-22 10:11:59,1650622297.613,1650622319.28,531,661,21.8336667219798,414,"ant_34","ant_77",1,"whole_experiment","c27"
16,28,2022-04-22 10:12:51,2022-04-22 10:14:03,975,1409,1,"1-1",5579.00727279643,3756.0413719408,1.4726118733078,5554.86010080848,3945.48328320463,-1.24442853163747,"1","1",273,"ant_16","ant_28","16_28",2022-04-22 10:12:51,2022-04-22 10:14:03,1650622371.614,1650622443.947,975,1409,72.4996666113536,874,"ant_28","ant_16",1,"whole_experiment","c27"
120,127,2022-04-22 10:14:30,2022-04-22 10:14:48,1568,1674,1,"1-1",6040.40898414061,3000.29346614321,-1.15706287360586,6032.94151891319,2800.47387753276,1.10650871505561,"1","1",98,"ant_120","ant_127","120_127",2022-04-22 10:14:30,2022-04-22 10:14:48,1650622470.447,1650622488.114,1568,1674,17.8336667219798,1020,"ant_127","ant_120",1,"whole_experiment","c27"
19,72,2022-04-22 10:15:51,2022-04-22 10:16:16,2052,2205,1,"1-1",5963.51740149439,1616.24821632547,0.72412598870721,6135.00348699872,1703.13390321348,2.97928181520567,"1","1",154,"ant_19","ant_72","19_72",2022-04-22 10:15:51,2022-04-22 10:16:16,1650622551.114,1650622576.614,2052,2205,25.6666666666667,1317,"ant_72","ant_19",1,"whole_experiment","c27"
28,104,2022-04-22 10:16:36,2022-04-22 10:16:46,2325,2383,1,"1-1",5626.75685280299,3217.59788373798,1.49890457649458,5592.41177999064,3398.68352446119,-0.994795226567172,"1","1",59,"ant_28","ant_104","28_104",2022-04-22 10:16:36,2022-04-22 10:16:46,1650622596.614,1650622606.281,2325,2383,9.8336664835612,1414,"ant_28","ant_104",1,"whole_experiment","c27"
8,65,2022-04-22 10:17:41,2022-04-22 10:18:01,2716,2834,1,"1-1",6924.83763742897,1484.88583471752,1.91156583193611,6762.47918802269,1542.02208096134,0.129524078262412,"1","1",106,"ant_8","ant_65","8_65",2022-04-22 10:17:41,2022-04-22 10:18:01,1650622661.781,1650622681.448,2716,2834,19.8336667219798,1680,"ant_65","ant_8",1,"whole_experiment","c27"
117,130,2022-04-22 10:17:47,2022-04-22 10:18:09,2753,2880,1,"1-1",4667.58078939419,1362.17761056097,-2.78202048302709,4551.62941412312,1456.86833809668,-1.4768422279468,"1","1",126,"ant_117","ant_130","117_130",2022-04-22 10:17:47,2022-04-22 10:18:09,1650622667.948,1650622689.114,2753,2880,21.332666794459,1708,"ant_130","ant_117",1,"whole_experiment","c27"
19,127,2022-04-22 10:17:52,2022-04-22 10:18:09,2782,2880,1,"1-1",6611.99496903179,3095.4030638562,-2.22251670322485,6581.30652170604,2905.47604807242,2.08994932888143,"1","1",95,"ant_19","ant_127","19_127",2022-04-22 10:17:52,2022-04-22 10:18:09,1650622672.781,1650622689.114,2782,2880,16.4996668497721,1709,"ant_127","ant_19",1,"whole_experiment","c27"
61,151,2022-04-22 10:14:35,2022-04-22 10:19:29,1598,3360,1,"1-1",5720.74230589313,1535.17040434507,1.44466464296093,5666.12022359649,1727.77839244418,-1.13750579145694,"1","1",1411,"ant_61","ant_151","61_151",2022-04-22 10:14:35,2022-04-22 10:19:29,1650622475.447,1650622769.114,1598,3360,293.83366672198,1968,"ant_61","ant_151",1,"whole_experiment","c27"
19,47,2022-04-22 10:18:53,2022-04-22 10:19:31,3146,3372,1,"1-1",6672.99703208653,2759.4183703857,1.28111407396916,6788.54310468508,2912.62918235666,-2.42138557491654,"1","1",221,"ant_19","ant_47","19_47",2022-04-22 10:18:53,2022-04-22 10:19:31,1650622733.448,1650622771.115,3146,3372,37.8336667219798,1973,"ant_47","ant_19",1,"whole_experiment","c27"
67,111,2022-04-22 10:17:44,2022-04-22 10:19:46,2730,3464,1,"1-1",6524.14705790833,3963.60585241469,-2.6172006935396,6336.79248441167,3882.86390908144,0.462844449928346,"1","1",723,"ant_67","ant_111","67_111",2022-04-22 10:17:44,2022-04-22 10:19:46,1650622664.114,1650622786.448,2730,3464,122.500666538874,2018,"ant_67","ant_111",1,"whole_experiment","c27"
3,135,2022-04-22 10:19:38,2022-04-22 10:19:50,3414,3487,1,"1-1",5059.22161804598,2568.70734341554,0.401140310771307,5231.30290585595,2525.89520232395,2.335877588742,"1","1",73,"ant_3","ant_135","3_135",2022-04-22 10:19:38,2022-04-22 10:19:50,1650622778.115,1650622790.282,3414,3487,12.3336667219798,2041,"ant_135","ant_3",1,"whole_experiment","c27"
59,110,2022-04-22 10:20:19,2022-04-22 10:20:31,3660,3736,1,"1-1",5354.15769859285,3534.54054000147,-2.54815155438732,5161.44425811669,3484.72642626857,-0.112005895595645,"1","1",67,"ant_59","ant_110","59_110",2022-04-22 10:20:19,2022-04-22 10:20:31,1650622819.115,1650622831.781,3660,3736,12.8326665560404,2204,"ant_59","ant_110",1,"whole_experiment","c27"
