"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
74,128,2022-03-16 10:09:28,2022-03-16 10:09:53,1929,2083,1,"1-1",5656.6023434901,2975.06177152207,1.78049000732055,5564.50274872269,3125.39566702362,-0.673275514595326,"1","1",149,"ant_74","ant_128","74_128",2022-03-16 10:09:28,2022-03-16 10:09:53,1647425368.248,1647425393.915,1929,2083,25.8336667219798,1020,"ant_74","ant_128",1,"whole_experiment","c06"
26,72,2022-03-16 10:10:15,2022-03-16 10:10:28,2210,2293,1,"1-1",7126.90432529704,2071.40189149617,-1.46333918716112,7051.45240809026,1890.17398060558,0.747357392246771,"1","1",34,"ant_26","ant_72","26_72",2022-03-16 10:10:15,2022-03-16 10:10:28,1647425415.081,1647425428.915,2210,2293,14.0006665388743,1198,"ant_72","ant_26",1,"whole_experiment","c06"
33,93,2022-03-16 10:11:25,2022-03-16 10:11:43,2630,2741,1,"1-1",5125.11489102362,2060.31276943176,-0.390008374628097,5308.76576805876,1997.16048810344,2.62481256306276,"1","1",100,"ant_33","ant_93","33_93",2022-03-16 10:11:25,2022-03-16 10:11:43,1647425485.082,1647425503.582,2630,2741,18.6666666666667,1514,"ant_93","ant_33",1,"whole_experiment","c06"
37,72,2022-03-16 10:12:15,2022-03-16 10:12:22,2933,2975,1,"1-1",6953.58785064673,1890.05256695327,-1.75841015835564,7028.54123392162,1722.87673601566,2.54691298976861,"1","1",43,"ant_37","ant_72","37_72",2022-03-16 10:12:15,2022-03-16 10:12:22,1647425535.582,1647425542.582,2933,2975,7.16666666666667,1676,"ant_37","ant_72",1,"whole_experiment","c06"
75,81,2022-03-16 10:12:10,2022-03-16 10:12:29,2904,3018,1,"1-1",6093.92389205772,3231.41181105975,0.0698607000787023,6283.60592075648,3277.81404565969,-2.48326355232996,"1","1",112,"ant_75","ant_81","75_81",2022-03-16 10:12:10,2022-03-16 10:12:29,1647425530.748,1647425549.749,2904,3018,19.167666832606,1698,"ant_81","ant_75",1,"whole_experiment","c06"
92,144,2022-03-16 10:12:25,2022-03-16 10:12:37,2990,3065,1,"1-1",6519.92228184169,3447.92097426699,-2.02730215184825,6500.89225240285,3251.59561387031,2.00621360531654,"1","1",65,"ant_92","ant_144","92_144",2022-03-16 10:12:25,2022-03-16 10:12:37,1647425545.082,1647425557.582,2990,3065,12.6666666666667,1736,"ant_144","ant_92",1,"whole_experiment","c06"
45,111,2022-03-16 10:12:50,2022-03-16 10:13:01,3143,3208,1,"1-1",5100.71845409297,3669.08644737197,-0.734247199028678,5180.30796317398,3526.44198453387,1.52814216841268,"1","1",66,"ant_45","ant_111","45_111",2022-03-16 10:12:50,2022-03-16 10:13:01,1647425570.582,1647425581.415,3143,3208,10.9996666113536,1850,"ant_111","ant_45",1,"whole_experiment","c06"
59,120,2022-03-16 10:13:09,2022-03-16 10:13:20,3257,3323,1,"1-1",5745.85755444827,2254.32912590952,-2.16028293782632,5581.84302863435,2145.95800439349,0.488974489318358,"1","1",51,"ant_59","ant_120","59_120",2022-03-16 10:13:09,2022-03-16 10:13:20,1647425589.582,1647425600.582,3257,3323,11.1666666666667,1928,"ant_120","ant_59",1,"whole_experiment","c06"
93,107,2022-03-16 10:13:55,2022-03-16 10:13:58,3535,3553,1,"1-1",6941.39571197158,4043.64991034253,-1.77295782129804,6903.07831831832,3848.54410843562,1.83812280055476,"1","1",19,"ant_93","ant_107","93_107",2022-03-16 10:13:55,2022-03-16 10:13:58,1647425635.915,1647425638.916,3535,3553,3.16766659418742,2102,"ant_93","ant_107",1,"whole_experiment","c06"
111,128,2022-03-16 10:13:50,2022-03-16 10:14:27,3503,3726,1,"1-1",5962.93478971963,3684.53007917488,-2.02039048113338,5894.43575847614,3518.75749191173,1.18453429217114,"1","1",221,"ant_111","ant_128","111_128",2022-03-16 10:13:50,2022-03-16 10:14:27,1647425630.583,1647425667.749,3503,3726,37.332666794459,2203,"ant_111","ant_128",1,"whole_experiment","c06"
97,118,2022-03-16 10:14:32,2022-03-16 10:14:40,3754,3802,1,"1-1",5814.88892689737,3263.10751707417,2.78581952949841,5666.88340550568,3211.75634948779,1.36294803895336,"1","1",21,"ant_97","ant_118","97_118",2022-03-16 10:14:32,2022-03-16 10:14:40,1647425672.416,1647425680.416,3754,3802,8.16666666666667,2247,"ant_97","ant_118",1,"whole_experiment","c06"
83,104,2022-03-16 10:15:11,2022-03-16 10:15:27,3989,4082,1,"1-1",6612.63650316124,1746.64145441081,3.11374416672489,6469.26431398756,1643.4435095194,0.86723276086418,"1","1",93,"ant_83","ant_104","83_104",2022-03-16 10:15:11,2022-03-16 10:15:27,1647425711.583,1647425727.083,3989,4082,15.6666666666667,2395,"ant_83","ant_104",1,"whole_experiment","c06"
5,14,2022-03-16 10:15:38,2022-03-16 10:15:57,4151,4262,1,"1-1",5659.04418509491,3094.05977967781,1.0819262537474,5762.13014343102,3256.23906250444,-2.40708416451258,"1","1",75,"ant_5","ant_14","5_14",2022-03-16 10:15:38,2022-03-16 10:15:57,1647425738.583,1647425757.083,4151,4262,18.6666666666667,2486,"ant_14","ant_5",1,"whole_experiment","c06"
53,110,2022-03-16 10:15:48,2022-03-16 10:15:58,4208,4268,1,"1-1",5702.30587202458,1488.20099209864,1.25870846963582,5718.84419177219,1681.0683682989,-1.60146114871346,"1","1",46,"ant_53","ant_110","53_110",2022-03-16 10:15:48,2022-03-16 10:15:58,1647425748.083,1647425758.083,4208,4268,10.1666666666667,2490,"ant_53","ant_110",1,"whole_experiment","c06"
50,145,2022-03-16 10:15:40,2022-03-16 10:16:12,4161,4356,1,"1-1",5499.70536216297,3114.40377804684,1.38300213948089,5579.47744844439,3295.21658180374,-2.3983288683363,"1","1",27,"ant_50","ant_145","50_145",2022-03-16 10:15:40,2022-03-16 10:16:12,1647425740.249,1647425772.749,4161,4356,32.6666666666667,2529,"ant_50","ant_145",1,"whole_experiment","c06"
37,112,2022-03-16 10:16:37,2022-03-16 10:16:47,4504,4564,1,"1-1",7249.9701832455,2107.17797093002,-0.343711564111618,7382.00938113603,1976.59103490841,1.79107845648664,"1","1",60,"ant_37","ant_112","37_112",2022-03-16 10:16:37,2022-03-16 10:16:47,1647425797.416,1647425807.416,4504,4564,10.1666666666667,2639,"ant_37","ant_112",1,"whole_experiment","c06"
121,146,2022-03-16 10:16:55,2022-03-16 10:17:18,4614,4748,1,"1-1",5969.96252604946,3268.4157498814,0.919797993110266,6111.61713967055,3408.59008233875,-2.83329157458423,"1","1",122,"ant_121","ant_146","121_146",2022-03-16 10:16:55,2022-03-16 10:17:18,1647425815.75,1647425838.083,4614,4748,22.4996666113536,2722,"ant_146","ant_121",1,"whole_experiment","c06"
138,156,2022-03-16 10:15:16,2022-03-16 10:17:32,4020,4835,1,"1-1",7172.11164241373,2501.98383216324,-2.37838093995556,7020.77126363127,2390.0067288244,0.759538861229022,"1","1",681,"ant_138","ant_156","138_156",2022-03-16 10:15:16,2022-03-16 10:17:32,1647425716.749,1647425852.583,4020,4835,136.000666538874,2767,"ant_138","ant_156",1,"whole_experiment","c06"
59,95,2022-03-16 10:17:21,2022-03-16 10:17:44,4769,4905,1,"1-1",5879.0251488453,2889.01322453248,-0.0533550999336012,6002.56498039624,3012.14009694629,-1.67658724030122,"1","1",8,"ant_59","ant_95","59_95",2022-03-16 10:17:21,2022-03-16 10:17:44,1647425841.583,1647425864.25,4769,4905,22.8336667219798,2798,"ant_95","ant_59",1,"whole_experiment","c06"
75,130,2022-03-16 10:16:01,2022-03-16 10:18:02,4289,5013,1,"1-1",5119.33719300529,3057.05082423408,-0.896401082643279,5279.69776057472,2973.57867298179,-2.88179975288577,"1","1",702,"ant_75","ant_130","75_130",2022-03-16 10:16:01,2022-03-16 10:18:02,1647425761.583,1647425882.25,4289,5013,120.83366672198,2838,"ant_75","ant_130",1,"whole_experiment","c06"
80,87,2022-03-16 10:17:59,2022-03-16 10:18:52,4994,5315,1,"1-1",4790.01107498876,2187.60151005561,0.916180455948873,4807.49729388867,2382.85931171029,-1.29571704950678,"1","1",141,"ant_80","ant_87","80_87",2022-03-16 10:17:59,2022-03-16 10:18:52,1647425879.083,1647425932.583,4994,5315,53.6666666666667,2958,"ant_80","ant_87",1,"whole_experiment","c06"
83,112,2022-03-16 10:17:45,2022-03-16 10:18:53,4913,5320,1,"1-1",6578.53114971512,1771.02504969383,-1.09846169752206,6741.29261226071,1686.3054223509,2.8259301387378,"1","1",380,"ant_83","ant_112","83_112",2022-03-16 10:17:45,2022-03-16 10:18:53,1647425865.584,1647425933.417,4913,5320,67.9996666113536,2961,"ant_83","ant_112",1,"whole_experiment","c06"
81,156,2022-03-16 10:19:35,2022-03-16 10:20:27,5573,5885,1,"1-1",6943.84987483016,2513.95636993623,-0.0321015115330834,7087.85572717347,2403.68526057354,1.96256306151824,"1","1",290,"ant_81","ant_156","81_156",2022-03-16 10:19:35,2022-03-16 10:20:27,1647425975.584,1647426027.584,5573,5885,52.1666666666667,3241,"ant_156","ant_81",1,"whole_experiment","c06"
