"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
32,105,2022-04-06 10:02:59,2022-04-06 10:03:14,391,484,1,"1-1",4951.32959253013,3420.05466056724,0.250962722964194,5053.03499800363,3310.05256457041,1.87351583042677,"1","1",92,"ant_32","ant_105","32_105",2022-04-06 10:02:59,2022-04-06 10:03:14,1649239379.251,1649239394.751,391,484,15.6666666666667,70,"ant_105","ant_32",1,"whole_experiment","c18"
10,40,2022-04-06 10:04:18,2022-04-06 10:05:24,868,1262,1,"1-1",6382.55920123347,3732.73737811511,-0.36854657824862,6571.74651720357,3747.74256271184,-2.82460346623085,"1","1",380,"ant_10","ant_40","10_40",2022-04-06 10:04:18,2022-04-06 10:05:24,1649239458.751,1649239524.418,868,1262,65.8336667219798,148,"ant_10","ant_40",1,"whole_experiment","c18"
29,55,2022-04-06 10:04:52,2022-04-06 10:05:29,1072,1293,1,"1-1",4910.38468430366,2680.51010610213,-0.581345718563493,5017.41563251192,2535.61525964834,1.99804300230061,"1","1",215,"ant_29","ant_55","29_55",2022-04-06 10:04:52,2022-04-06 10:05:29,1649239492.752,1649239529.585,1072,1293,36.9996666113536,153,"ant_55","ant_29",1,"whole_experiment","c18"
69,79,2022-04-06 10:06:49,2022-04-06 10:07:03,1775,1857,1,"1-1",5837.95138669413,2575.41305223595,-2.8498857708971,5699.02250225684,2646.30329753995,-1.51859103379842,"1","1",32,"ant_69","ant_79","69_79",2022-04-06 10:06:49,2022-04-06 10:07:03,1649239609.919,1649239623.586,1775,1857,13.8336667219798,207,"ant_69","ant_79",1,"whole_experiment","c18"
49,68,2022-04-06 10:06:59,2022-04-06 10:07:21,1833,1965,1,"1-1",5135.07555720868,2374.2192467776,-2.89791721127591,4955.00329826614,2364.01376179472,-0.535504802383023,"1","1",6,"ant_49","ant_68","49_68",2022-04-06 10:06:59,2022-04-06 10:07:21,1649239619.585,1649239641.586,1833,1965,22.1676665941874,222,"ant_68","ant_49",1,"whole_experiment","c18"
18,59,2022-04-06 10:07:21,2022-04-06 10:07:45,1962,2108,1,"1-1",6749.76136106875,2007.20427807254,0.905547343067971,6823.50896492086,2184.07610377512,-1.56975001512905,"1","1",135,"ant_18","ant_59","18_59",2022-04-06 10:07:21,2022-04-06 10:07:45,1649239641.086,1649239665.419,1962,2108,24.4996666113536,237,"ant_18","ant_59",1,"whole_experiment","c18"
15,72,2022-04-06 10:09:46,2022-04-06 10:09:57,2834,2903,1,"1-1",6872.39564663942,3934.36920593205,1.95292728122553,6812.46308273535,4128.89042775507,-1.60523528298018,"1","1",67,"ant_15","ant_72","15_72",2022-04-06 10:09:46,2022-04-06 10:09:57,1649239786.419,1649239797.92,2834,2903,11.667666832606,335,"ant_72","ant_15",1,"whole_experiment","c18"
17,59,2022-04-06 10:09:50,2022-04-06 10:10:04,2858,2945,1,"1-1",6819.78744750727,2112.50804620531,1.88865223624815,6820.48502517191,2304.6230784124,-1.82475981346022,"1","1",58,"ant_17","ant_59","17_59",2022-04-06 10:09:50,2022-04-06 10:10:04,1649239790.42,1649239804.92,2858,2945,14.6666666666667,338,"ant_17","ant_59",1,"whole_experiment","c18"
62,89,2022-04-06 10:09:16,2022-04-06 10:10:13,2655,2998,1,"1-1",6100.7299401324,1486.17951511683,1.63871126304036,6167.652580338,1661.76602927251,-2.35162937674957,"1","1",342,"ant_62","ant_89","62_89",2022-04-06 10:09:16,2022-04-06 10:10:13,1649239756.586,1649239813.753,2655,2998,57.3336667219798,345,"ant_62","ant_89",1,"whole_experiment","c18"
5,63,2022-04-06 10:12:26,2022-04-06 10:13:11,3794,4066,1,"1-1",7157.28745108892,1504.23629235722,1.11547189511682,7200.55814957059,1694.5996043737,-1.55153348791817,"1","1",272,"ant_5","ant_63","5_63",2022-04-06 10:12:26,2022-04-06 10:13:11,1649239946.42,1649239991.754,3794,4066,45.5006665388743,438,"ant_63","ant_5",1,"whole_experiment","c18"
9,82,2022-04-06 10:16:31,2022-04-06 10:17:41,5265,5683,1,"1-1",6301.19514761274,2557.64950710732,2.19581353483458,6175.75691749357,2701.13625148752,-0.642111005085167,"1","1",320,"ant_9","ant_82","9_82",2022-04-06 10:16:31,2022-04-06 10:17:41,1649240191.588,1649240261.255,5265,5683,69.8336667219798,571,"ant_82","ant_9",1,"whole_experiment","c18"
63,89,2022-04-06 10:17:10,2022-04-06 10:18:55,5496,6129,1,"1-1",6195.63818618751,1536.4617425525,2.21648438864808,6118.25763291165,1693.14362169075,-1.03671806762056,"1","1",521,"ant_63","ant_89","63_89",2022-04-06 10:17:10,2022-04-06 10:18:55,1649240230.088,1649240335.589,5496,6129,105.667666594187,618,"ant_63","ant_89",1,"whole_experiment","c18"
14,58,2022-04-06 10:19:05,2022-04-06 10:19:33,6187,6356,1,"1-1",5614.58000800607,2441.30032973409,2.55776168113545,5448.91597429696,2537.04114152687,-0.696606448784607,"1","1",164,"ant_14","ant_58","14_58",2022-04-06 10:19:05,2022-04-06 10:19:33,1649240345.255,1649240373.423,6187,6356,28.3346666495005,637,"ant_58","ant_14",1,"whole_experiment","c18"
51,95,2022-04-06 10:19:37,2022-04-06 10:19:42,6380,6408,1,"1-1",5918.52485843169,1552.25106383987,-0.374180641233897,6011.9006358728,1387.67849039645,1.65719131221077,"1","1",17,"ant_51","ant_95","51_95",2022-04-06 10:19:37,2022-04-06 10:19:42,1649240377.422,1649240382.089,6380,6408,4.83366672197978,644,"ant_51","ant_95",1,"whole_experiment","c18"
