"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
1,48,2022-11-26 15:14:17,2022-11-26 15:14:38,1,123,1,"1-1",6509.72372680893,2756.16087753783,0.28259235945157,6697.03415900532,2695.35883874899,2.19082652993206,"1","1",123,"ant_1","ant_48","1_48",2022-11-26 15:14:17,2022-11-26 15:14:38,1669475657.721,1669475678.054,1,123,20.4996666113536,25,"ant_1","ant_48",1,"whole_experiment","c29"
64,117,2022-11-26 15:14:22,2022-11-26 15:15:52,27,572,1,"1-1",6297.90323270882,2406.14516672348,-0.443734166320121,6426.63945895894,2260.05607916058,1.63828687307875,"1","1",306,"ant_64","ant_117","64_117",2022-11-26 15:14:22,2022-11-26 15:15:52,1669475662.054,1669475752.887,27,572,90.9996668497721,101,"ant_117","ant_64",1,"whole_experiment","c29"
53,60,2022-11-26 15:15:30,2022-11-26 15:16:03,435,638,1,"1-1",5971.52627491317,2806.72667744537,-0.39534907067301,6132.03278242082,2763.45590025446,-2.47752159064502,"1","1",100,"ant_53","ant_60","53_60",2022-11-26 15:15:30,2022-11-26 15:16:03,1669475730.054,1669475763.887,435,638,33.9996668497721,109,"ant_53","ant_60",1,"whole_experiment","c29"
21,96,2022-11-26 15:28:58,2022-11-26 15:29:10,5285,5360,1,"1-1",6912.40684756103,3309.81381563236,-1.33652487183224,7061.237139253,3260.02358423701,-2.93452995334994,"1","1",75,"ant_21","ant_96","21_96",2022-11-26 15:28:58,2022-11-26 15:29:10,1669476538.384,1669476550.884,5285,5360,12.6666666666667,280,"ant_21","ant_96",1,"whole_experiment","c29"
62,68,2022-11-26 15:29:50,2022-11-26 15:31:17,5598,6119,1,"1-1",6678.41930264246,2506.17023532092,-0.316698387209307,6813.69829952716,2483.77078055085,2.33182509022584,"1","1",230,"ant_62","ant_68","62_68",2022-11-26 15:29:50,2022-11-26 15:31:17,1669476590.551,1669476677.383,5598,6119,86.9986664454142,325,"ant_68","ant_62",1,"whole_experiment","c29"
56,125,2022-11-26 15:39:40,2022-11-26 15:40:06,9136,9295,1,"1-1",6300.25489503892,1637.6892828716,-0.640690223345285,6455.04785729489,1547.77228264192,3.05492522378385,"1","1",160,"ant_56","ant_125","56_125",2022-11-26 15:39:40,2022-11-26 15:40:06,1669477180.214,1669477206.714,9136,9295,26.6666666666667,715,"ant_125","ant_56",1,"whole_experiment","c29"
16,97,2022-11-26 15:41:22,2022-11-26 15:41:31,9747,9803,1,"1-1",6446.08954549258,3617.3618366577,-0.676148438630514,6626.08491443659,3540.77853281079,-2.87241865222855,"1","1",47,"ant_16","ant_97","16_97",2022-11-26 15:41:22,2022-11-26 15:41:31,1669477282.047,1669477291.38,9747,9803,9.49966684977213,745,"ant_97","ant_16",1,"whole_experiment","c29"
24,131,2022-11-26 15:42:35,2022-11-26 15:42:57,10186,10318,1,"1-1",5976.87213147865,3761.38794274845,0.44053435506924,6140.64064122165,3838.62961724909,-2.98888602988968,"1","1",133,"ant_24","ant_131","24_131",2022-11-26 15:42:35,2022-11-26 15:42:57,1669477355.213,1669477377.213,10186,10318,22.1666666666667,764,"ant_24","ant_131",1,"whole_experiment","c29"
10,100,2022-11-26 15:42:34,2022-11-26 15:43:01,10184,10344,1,"1-1",5754.04163738627,2370.38635383017,0.572392989945318,5927.44835456773,2456.07875930456,-2.38856562248998,"1","1",161,"ant_10","ant_100","10_100",2022-11-26 15:42:34,2022-11-26 15:43:01,1669477354.88,1669477381.546,10184,10344,26.8326665560404,767,"ant_10","ant_100",1,"whole_experiment","c29"
10,82,2022-11-26 15:44:23,2022-11-26 15:44:37,10835,10917,1,"1-1",5765.26017967152,2295.58570869488,2.75110621710619,5681.87683358755,2465.04941359676,-1.37944612890225,"1","1",53,"ant_10","ant_82","10_82",2022-11-26 15:44:23,2022-11-26 15:44:37,1669477463.379,1669477477.046,10835,10917,13.8336667219798,789,"ant_82","ant_10",1,"whole_experiment","c29"
15,43,2022-11-26 15:47:41,2022-11-26 15:48:49,12022,12433,1,"1-1",7180.66990223047,3129.10404248142,-1.44699599933014,7232.933753972,2973.92478934385,1.55464819094503,"1","1",405,"ant_15","ant_43","15_43",2022-11-26 15:47:41,2022-11-26 15:48:49,1669477661.211,1669477729.711,12022,12433,68.6666666666667,877,"ant_43","ant_15",1,"whole_experiment","c29"
58,68,2022-11-26 15:51:56,2022-11-26 15:52:37,13552,13800,1,"1-1",6924.84212337496,2637.92917768606,0.240114389455628,7072.7615539928,2582.08444763112,2.15173217003783,"1","1",116,"ant_58","ant_68","58_68",2022-11-26 15:51:56,2022-11-26 15:52:37,1669477916.21,1669477957.543,13552,13800,41.4996666113536,925,"ant_58","ant_68",1,"whole_experiment","c29"
95,110,2022-11-26 15:53:00,2022-11-26 15:54:27,13935,14457,1,"1-1",6527.88542926309,2452.59572392947,0.961587818002608,6602.37376702082,2594.79117816383,-2.22477415705625,"1","1",523,"ant_95","ant_110","95_110",2022-11-26 15:53:00,2022-11-26 15:54:27,1669477980.043,1669478067.043,13935,14457,87.1666666666667,1006,"ant_110","ant_95",1,"whole_experiment","c29"
6,58,2022-11-26 15:53:43,2022-11-26 15:54:27,14195,14459,1,"1-1",7060.86897075548,2248.97640515045,1.4207330230747,7045.59166218498,2428.55032148839,-0.990833737721621,"1","1",195,"ant_6","ant_58","6_58",2022-11-26 15:53:43,2022-11-26 15:54:27,1669478023.377,1669478067.377,14195,14459,44.1666666666667,1008,"ant_58","ant_6",1,"whole_experiment","c29"
1,20,2022-11-26 15:53:56,2022-11-26 15:54:27,14276,14461,1,"1-1",6570.2359370907,2690.17833712589,0.17245532009992,6784.49650123625,2872.61007689186,-1.16957080748904,"1","1",110,"ant_1","ant_20","1_20",2022-11-26 15:53:56,2022-11-26 15:54:27,1669478036.876,1669478067.709,14276,14461,30.9996668497721,1009,"ant_1","ant_20",1,"whole_experiment","c29"
98,100,2022-11-26 15:55:25,2022-11-26 15:56:24,14809,15159,1,"1-1",5634.25548701466,3570.42380571451,-1.40730013546236,5690.96255188286,3384.91080818779,2.12484889954328,"1","1",351,"ant_98","ant_100","98_100",2022-11-26 15:55:25,2022-11-26 15:56:24,1669478125.71,1669478184.043,14809,15159,58.4996666113536,1185,"ant_98","ant_100",1,"whole_experiment","c29"
12,14,2022-11-26 15:56:26,2022-11-26 15:58:02,15173,15749,1,"1-1",5638.7156761534,2226.99332659842,-0.228969112220651,5806.60522145827,2148.0550747342,2.8489022889853,"1","1",575,"ant_12","ant_14","12_14",2022-11-26 15:56:26,2022-11-26 15:58:02,1669478186.376,1669478282.375,15173,15749,96.1656667391459,1348,"ant_14","ant_12",1,"whole_experiment","c29"
26,62,2022-11-26 15:58:21,2022-11-26 15:59:07,15866,16138,1,"1-1",7010.88486509395,2111.18169354749,-2.21291527130614,6966.44502840684,1942.51895907056,1.8006013041017,"1","1",262,"ant_26","ant_62","26_62",2022-11-26 15:58:21,2022-11-26 15:59:07,1669478301.876,1669478347.208,15866,16138,45.4986666838328,1421,"ant_26","ant_62",1,"whole_experiment","c29"
48,95,2022-11-26 15:59:55,2022-11-26 16:00:31,16427,16645,1,"1-1",5708.16676678782,1528.70012007663,0.602901049058894,5809.65980786276,1689.44722137505,-1.38516077014177,"1","1",94,"ant_48","ant_95","48_95",2022-11-26 15:59:55,2022-11-26 16:00:31,1669478395.375,1669478431.708,16427,16645,36.4996666113536,1551,"ant_48","ant_95",1,"whole_experiment","c29"
56,95,2022-11-26 16:01:29,2022-11-26 16:01:43,16991,17078,1,"1-1",6143.1611665473,1672.06777336864,2.76961892589959,5968.06779340958,1720.56829944292,-0.578980591892733,"1","1",88,"ant_56","ant_95","56_95",2022-11-26 16:01:29,2022-11-26 16:01:43,1669478489.374,1669478503.874,16991,17078,14.6666666666667,1624,"ant_56","ant_95",1,"whole_experiment","c29"
31,72,2022-11-26 16:02:52,2022-11-26 16:02:58,17490,17523,1,"1-1",7436.43436150047,2425.19801680338,1.2354344122608,7403.10380572528,2626.23420858482,-1.24245097152962,"1","1",7,"ant_31","ant_72","31_72",2022-11-26 16:02:52,2022-11-26 16:02:58,1669478572.541,1669478578.041,17490,17523,5.66666666666667,1698,"ant_72","ant_31",1,"whole_experiment","c29"
14,22,2022-11-26 16:02:43,2022-11-26 16:03:02,17436,17551,1,"1-1",5873.71155981735,2088.92678647085,1.02051220178322,6035.79969545141,2183.81976551663,-3.06119948946015,"1","1",96,"ant_14","ant_22","14_22",2022-11-26 16:02:43,2022-11-26 16:03:02,1669478563.541,1669478582.707,17436,17551,19.332666794459,1706,"ant_14","ant_22",1,"whole_experiment","c29"
13,48,2022-11-26 16:02:09,2022-11-26 16:04:50,17230,18196,1,"1-1",5948.74303059115,1947.35569398148,0.803319046788337,6090.53799038497,2080.04272502037,-2.54830958416517,"1","1",951,"ant_13","ant_48","13_48",2022-11-26 16:02:09,2022-11-26 16:04:50,1669478529.208,1669478690.207,17230,18196,161.165666739146,1748,"ant_48","ant_13",1,"whole_experiment","c29"
62,72,2022-11-26 16:09:00,2022-11-26 16:09:33,19699,19896,1,"1-1",7197.78847328089,2307.57772018279,1.03923118261568,7248.50937248511,2476.92725514762,-1.81410526816281,"1","1",154,"ant_62","ant_72","62_72",2022-11-26 16:09:00,2022-11-26 16:09:33,1669478940.705,1669478973.539,19699,19896,33.0006667772929,1827,"ant_62","ant_72",1,"whole_experiment","c29"
10,56,2022-11-26 16:30:47,2022-11-26 16:31:26,27538,27775,1,"1-1",4701.96626117427,2965.96851580556,-0.0685909423563827,4849.43380242196,2867.24733225976,2.04643305373968,"1","1",159,"ant_10","ant_56","10_56",2022-11-26 16:30:47,2022-11-26 16:31:26,1669480247.199,1669480286.699,27538,27775,39.6666666666667,1924,"ant_56","ant_10",1,"whole_experiment","c29"
30,68,2022-11-26 16:38:35,2022-11-26 16:38:54,30347,30459,1,"1-1",7068.02837023328,3397.4034610522,0.557281624785537,7185.50462598141,3554.30241242441,-2.07938445322376,"1","1",111,"ant_30","ant_68","30_68",2022-11-26 16:38:35,2022-11-26 16:38:54,1669480715.364,1669480734.03,30347,30459,18.8326665560404,1970,"ant_68","ant_30",1,"whole_experiment","c29"
10,69,2022-11-26 16:40:44,2022-11-26 16:41:11,31122,31282,1,"1-1",5674.11901995128,4003.87825254518,-1.16674670339075,5672.53096972612,3828.44108805428,1.08864330232962,"1","1",161,"ant_10","ant_69","10_69",2022-11-26 16:40:44,2022-11-26 16:41:11,1669480844.53,1669480871.196,31122,31282,26.832666794459,2000,"ant_69","ant_10",1,"whole_experiment","c29"
17,81,2022-11-26 16:47:37,2022-11-26 16:48:06,33599,33771,1,"1-1",7305.72268580502,2060.23779767168,2.03281180701828,7227.4504796052,2174.82623615063,0.285101049432834,"1","1",155,"ant_17","ant_81","17_81",2022-11-26 16:47:37,2022-11-26 16:48:06,1669481257.361,1669481286.028,33599,33771,28.8336667219798,2139,"ant_17","ant_81",1,"whole_experiment","c29"
3,14,2022-11-26 16:49:01,2022-11-26 16:49:41,34104,34344,1,"1-1",5453.4032317973,2063.03142513657,0.703264604169196,5601.03886829411,2165.7640030464,-2.02099327847139,"1","1",224,"ant_3","ant_14","3_14",2022-11-26 16:49:01,2022-11-26 16:49:41,1669481341.527,1669481381.527,34104,34344,40.1666666666667,2156,"ant_3","ant_14",1,"whole_experiment","c29"
68,135,2022-11-26 16:50:30,2022-11-26 16:50:43,34636,34714,1,"1-1",6736.81539718517,3875.53459962178,-2.33586213992227,6583.57472144306,3865.48440878447,-0.596167517342125,"1","1",79,"ant_68","ant_135","68_135",2022-11-26 16:50:30,2022-11-26 16:50:43,1669481430.194,1669481443.194,34636,34714,13.1666666666667,2209,"ant_135","ant_68",1,"whole_experiment","c29"
29,31,2022-11-26 16:51:05,2022-11-26 16:51:24,34850,34961,1,"1-1",6782.37715147844,1716.1747933976,-0.60241380876233,6818.51552190992,1535.90248167801,1.18270686433148,"1","1",29,"ant_29","ant_31","29_31",2022-11-26 16:51:05,2022-11-26 16:51:24,1669481465.86,1669481484.36,34850,34961,18.6666666666667,2240,"ant_31","ant_29",1,"whole_experiment","c29"
36,95,2022-11-26 16:53:09,2022-11-26 16:53:38,35593,35763,1,"1-1",6783.10184877731,2071.72991729005,-0.590642419217523,6958.76917481714,2007.54587849753,2.54643598630506,"1","1",155,"ant_36","ant_95","36_95",2022-11-26 16:53:09,2022-11-26 16:53:38,1669481589.692,1669481618.026,35593,35763,28.5006667772929,2333,"ant_36","ant_95",1,"whole_experiment","c29"
36,95,2022-11-26 16:54:33,2022-11-26 16:54:57,36097,36239,1,"1-1",6786.27660907646,2098.47057880565,-0.427332341055511,6949.44699246252,2042.65019710884,2.86988235324774,"1","1",95,"ant_36","ant_95","36_95",2022-11-26 16:54:33,2022-11-26 16:54:57,1669481673.692,1669481697.359,36097,36239,23.8336667219798,2351,"ant_36","ant_95",1,"whole_experiment","c29"
31,66,2022-11-26 16:55:27,2022-11-26 16:55:50,36419,36555,1,"1-1",6899.34742866962,1541.29931060016,0.158058125177395,6939.63879873345,1666.53660959354,-1.8840493728597,"1","1",20,"ant_31","ant_66","31_66",2022-11-26 16:55:27,2022-11-26 16:55:50,1669481727.359,1669481750.025,36419,36555,22.832666794459,2370,"ant_31","ant_66",1,"whole_experiment","c29"
94,106,2022-11-26 16:56:14,2022-11-26 16:56:24,36701,36759,1,"1-1",4864.7269070047,2737.5700456614,-0.599501607312624,5009.34733931855,2632.23015290314,2.92042553751789,"1","1",49,"ant_94","ant_106","94_106",2022-11-26 16:56:14,2022-11-26 16:56:24,1669481774.358,1669481784.025,36701,36759,9.83366672197978,2379,"ant_106","ant_94",1,"whole_experiment","c29"
71,136,2022-11-26 16:52:34,2022-11-26 16:56:48,35384,36903,1,"1-1",6401.47506606397,1668.63409574268,2.28619366459979,6284.50339829021,1821.70310437223,-1.20028733788838,"1","1",1520,"ant_71","ant_136","71_136",2022-11-26 16:52:34,2022-11-26 16:56:48,1669481554.86,1669481808.025,35384,36903,253.331666866938,2392,"ant_71","ant_136",1,"whole_experiment","c29"
128,136,2022-11-26 17:03:59,2022-11-26 17:05:53,39491,40173,1,"1-1",6409.38078580213,1843.95455153637,2.20378866609395,6251.64574861932,1891.8211804335,-0.216317735870885,"1","1",633,"ant_128","ant_136","128_136",2022-11-26 17:03:59,2022-11-26 17:05:53,1669482239.356,1669482353.023,39491,40173,113.83366672198,2609,"ant_136","ant_128",1,"whole_experiment","c29"
21,50,2022-11-26 17:05:41,2022-11-26 17:06:02,40104,40229,1,"1-1",7377.5200659778,3236.77706227574,-1.77917014065608,7388.90583527063,3049.18265548715,2.14523294190687,"1","1",126,"ant_21","ant_50","21_50",2022-11-26 17:05:41,2022-11-26 17:06:02,1669482341.522,1669482362.356,40104,40229,21.0006665388743,2610,"ant_21","ant_50",1,"whole_experiment","c29"
10,13,2022-11-26 17:18:15,2022-11-26 17:18:50,44626,44837,1,"1-1",5672.42475650116,2040.33192787564,-3.10622916349352,5541.82785575727,2157.04775525457,-1.16054016594186,"1","1",193,"ant_10","ant_13","10_13",2022-11-26 17:18:15,2022-11-26 17:18:50,1669483095.186,1669483130.352,44626,44837,35.3326665560404,2775,"ant_10","ant_13",1,"whole_experiment","c29"
