"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
31,154,2022-04-01 10:34:23,2022-04-01 10:35:06,197,452,1,"1-1",5271.17887543829,2922.71070826012,0.113923650638373,5474.20267559468,2945.11606854208,-2.96822854506306,"1","1",256,"ant_31","ant_154","31_154",2022-04-01 10:34:23,2022-04-01 10:35:06,1648809263.835,1648809306.335,197,452,42.6666666666667,192,"ant_31","ant_154",1,"whole_experiment","c16"
53,79,2022-04-01 10:34:32,2022-04-01 10:35:09,247,472,1,"1-1",5449.85970246638,2073.26683219909,2.88041971246812,5293.76758469715,2130.75248630585,-0.581399682490518,"1","1",222,"ant_53","ant_79","53_79",2022-04-01 10:34:32,2022-04-01 10:35:09,1648809272.168,1648809309.668,247,472,37.6666666666667,210,"ant_79","ant_53",1,"whole_experiment","c16"
78,137,2022-04-01 10:35:03,2022-04-01 10:35:12,435,490,1,"1-1",7401.32247608462,2619.19428837943,0.321748778996007,7525.62111523918,2547.93636992479,1.53173620145605,"1","1",12,"ant_78","ant_137","78_137",2022-04-01 10:35:03,2022-04-01 10:35:12,1648809303.501,1648809312.668,435,490,9.33366672197978,225,"ant_137","ant_78",1,"whole_experiment","c16"
25,64,2022-04-01 10:35:06,2022-04-01 10:36:04,454,803,1,"1-1",6483.66779464032,1330.3939659671,0.0166587836921929,6658.14162763168,1392.61029046441,-2.07432043816039,"1","1",104,"ant_25","ant_64","25_64",2022-04-01 10:35:06,2022-04-01 10:36:04,1648809306.668,1648809364.835,454,803,58.3336667219798,383,"ant_25","ant_64",1,"whole_experiment","c16"
118,161,2022-04-01 10:33:51,2022-04-01 10:36:50,1,1078,1,"1-1",6347.41886495407,3624.81553376069,0.146934357606642,6521.28095532904,3612.82918446393,2.90819442948177,"1","1",1076,"ant_118","ant_161","118_161",2022-04-01 10:33:51,2022-04-01 10:36:50,1648809231.168,1648809410.669,1,1078,179.667666594187,513,"ant_161","ant_118",1,"whole_experiment","c16"
35,82,2022-04-01 10:37:00,2022-04-01 10:37:04,1135,1160,1,"1-1",5283.42208571233,3850.49185685319,2.75480042930721,5091.83439521213,3861.60465531646,0.624657137450711,"1","1",24,"ant_35","ant_82","35_82",2022-04-01 10:37:00,2022-04-01 10:37:04,1648809420.169,1648809424.335,1135,1160,4.33266679445903,558,"ant_35","ant_82",1,"whole_experiment","c16"
48,94,2022-04-01 10:37:28,2022-04-01 10:37:38,1302,1366,1,"1-1",5414.22031309774,2299.05836886484,-0.421285797998789,5578.25972210951,2181.82509027847,2.15159032006718,"1","1",62,"ant_48","ant_94","48_94",2022-04-01 10:37:28,2022-04-01 10:37:38,1648809448.002,1648809458.669,1302,1366,10.8336664835612,658,"ant_48","ant_94",1,"whole_experiment","c16"
27,107,2022-04-01 10:37:42,2022-04-01 10:38:07,1389,1537,1,"1-1",5708.20701773898,1529.54262203917,-0.903759022874256,5676.40719235923,1365.33065754718,1.19108214871246,"1","1",147,"ant_27","ant_107","27_107",2022-04-01 10:37:42,2022-04-01 10:38:07,1648809462.502,1648809487.169,1389,1537,24.8336664835612,733,"ant_27","ant_107",1,"whole_experiment","c16"
18,44,2022-04-01 10:33:56,2022-04-01 10:38:23,35,1632,1,"1-1",5453.77147676028,1563.75803637933,3.11903319580623,5291.83027457618,1517.23761225205,0.848405790581493,"1","1",1596,"ant_18","ant_44","18_44",2022-04-01 10:33:56,2022-04-01 10:38:23,1648809236.834,1648809503.002,35,1632,266.334666649501,765,"ant_18","ant_44",1,"whole_experiment","c16"
56,66,2022-04-01 10:37:32,2022-04-01 10:38:53,1330,1812,1,"1-1",5977.03760396871,3232.98188969937,0.0928700340825231,6138.98835171623,3332.13493247327,-2.25056153032077,"1","1",477,"ant_56","ant_66","56_66",2022-04-01 10:37:32,2022-04-01 10:38:53,1648809452.669,1648809533.003,1330,1812,80.5006667772929,881,"ant_56","ant_66",1,"whole_experiment","c16"
