sample	type	virus	assignment	vcps	positive500	vcps_neg0	replication					
SA_4_08	single_ant	ABPV	1	4499.968647	TRUE	4499.968647	NA					
SA_4_09	single_ant	ABPV	1	11977.38097	TRUE	11977.38097	NA					
SA_4_10	single_ant	ABPV	1	37294.59849	TRUE	37294.59849	NA					
SA_8_01	single_ant	ABPV	1	14648861.23	TRUE	14648861.23	NA					
SA_8_02	single_ant	ABPV	1	203462.0282	TRUE	203462.0282	NA					
SA_8_03	single_ant	ABPV	1	1051681.835	TRUE	1051681.835	NA					
SA_8_04	single_ant	ABPV	1	13384.81037	TRUE	13384.81037	NA					
SA_8_05	single_ant	ABPV	1	85368.48181	TRUE	85368.48181	NA					
SA_8_06	single_ant	ABPV	1	12890.58827	TRUE	12890.58827	NA					
SA_8_07	single_ant	ABPV	1	411903.11	TRUE	411903.11	NA					
SA_8_08	single_ant	ABPV	1	15277989.19	TRUE	15277989.19	NA					
SA_8_09	single_ant	ABPV	1	2016.268295	TRUE	2016.268295	NA					
SA_8_10	single_ant	ABPV	1	5928.813469	TRUE	5928.813469	NA					
SA_12_01	single_ant	DWV	1	95115.04098	TRUE	95115.04098	NA					
SA_12_02	single_ant	DWV	0	753.029783	TRUE	0	NA					
SA_12_03	single_ant	DWV	0	486.3108529	TRUE	0	NA					
SA_12_04	single_ant	DWV	1	33724.7937	TRUE	33724.7937	NA					
SA_12_05	single_ant	DWV	1	339977.5691	TRUE	339977.5691	NA					
SA_12_06	single_ant	DWV	1	7457.118243	TRUE	7457.118243	NA					
SA_12_07	single_ant	DWV	0	1494.776538	TRUE	0	NA					
SA_12_08	single_ant	DWV	1	42851.66662	TRUE	42851.66662	NA					
SA_12_09	single_ant	DWV	1	53654.50343	TRUE	53654.50343	NA					
SA_12_10	single_ant	DWV	1	15289.77748	TRUE	15289.77748	NA					
SA_4_01	single_ant	DWV	0	505.4282483	TRUE	0	NA					
SA_4_02	single_ant	DWV	0	719.630717	TRUE	0	NA					
SA_4_03	single_ant	DWV	0	2199.071364	TRUE	0	NA					
SA_4_04	single_ant	DWV	1	421.7398514	TRUE	421.7398514	NA					
SA_4_05	single_ant	DWV	1	1704.637187	TRUE	1704.637187	NA					
SA_4_06	single_ant	DWV	1	911.9532734	TRUE	911.9532734	NA					
SA_4_07	single_ant	DWV	0	194.0289379	FALSE	0	NA					
SA_4_08	single_ant	DWV	1	510.5955677	TRUE	510.5955677	NA					
SA_4_09	single_ant	DWV	0	127.5390351	FALSE	0	NA					
SA_4_10	single_ant	DWV	1	6378.907937	TRUE	6378.907937	NA					
SA_8_01	single_ant	DWV	1	6116.650566	TRUE	6116.650566	NA					
SA_8_02	single_ant	DWV	0	718.2777428	TRUE	0	NA					
SA_8_03	single_ant	DWV	1	950.8644864	TRUE	950.8644864	NA					
SA_8_04	single_ant	DWV	1	1453.501423	TRUE	1453.501423	NA					
SA_8_05	single_ant	DWV	0	518.3031502	TRUE	0	NA					
SA_8_06	single_ant	DWV	1	4193.701643	TRUE	4193.701643	NA					
SA_8_07	single_ant	DWV	1	2458.622114	TRUE	2458.622114	NA					
SA_8_08	single_ant	DWV	1	554.6925687	TRUE	554.6925687	NA					
SA_8_09	single_ant	DWV	1	863.2785825	TRUE	863.2785825	NA					
SA_8_10	single_ant	DWV	0	11138.51104	TRUE	0	NA					
FP01	feeding_pupae	ABPV	1	3678748536	TRUE	3678748536	1					
FP02	feeding_pupae	ABPV	1	14646137.47	TRUE	14646137.47	1					
FP03	feeding_pupae	ABPV	1	37191141989	TRUE	37191141989	1					
FP04	feeding_pupae	ABPV	1	91243256051	TRUE	91243256051	1					
FP05	feeding_pupae	ABPV	1	12235028503	TRUE	12235028503	1					
FP06	feeding_pupae	ABPV	1	271076916.7	TRUE	271076916.7	1					
FP07	feeding_pupae	ABPV	1	1150262328	TRUE	1150262328	1					
FP08	feeding_pupae	ABPV	1	81501976266	TRUE	81501976266	1					
FP09	feeding_pupae	ABPV	1	3401067044	TRUE	3401067044	1					
FP10	feeding_pupae	ABPV	1	884598576.5	TRUE	884598576.5	1					
FP11	feeding_pupae	ABPV	1	10173253925	TRUE	10173253925	1					
FP01	feeding_pupae	DWV	1	2.13229E+11	TRUE	2.13229E+11	1					
FP02	feeding_pupae	DWV	1	3.80988E+11	TRUE	3.80988E+11	1					
FP03	feeding_pupae	DWV	1	56776438825	TRUE	56776438825	1					
FP04	feeding_pupae	DWV	1	1.34028E+11	TRUE	1.34028E+11	1					
FP05	feeding_pupae	DWV	1	1.45849E+11	TRUE	1.45849E+11	1					
FP06	feeding_pupae	DWV	1	2.82739E+11	TRUE	2.82739E+11	1					
FP07	feeding_pupae	DWV	1	8.33023E+11	TRUE	8.33023E+11	1					
FP08	feeding_pupae	DWV	1	1.05992E+11	TRUE	1.05992E+11	1					
FP09	feeding_pupae	DWV	1	79962039188	TRUE	79962039188	1					
FP10	feeding_pupae	DWV	1	1.6076E+11	TRUE	1.6076E+11	1					
FP11	feeding_pupae	DWV	1	1.09857E+11	TRUE	1.09857E+11	1					
